"","presz","postsz","inc","year","lf"
"298",115.6,132.3,16.7,92,1
"299",119,135.6,16.6,92,1
"300",113.6,130.3,16.7,92,1
"301",111.6,128.7,17.1,92,1
"302",112.7,118.8,6.1,92,1
"303",117.5,133.4,15.9,92,1
"304",136.3,151.6,15.3,92,1
"305",125.2,140.6,15.4,92,1
"306",128.9,144.6,15.7,92,1
"307",132,147.7,15.7,92,1
"308",140.4,154.8,14.4,92,1
"309",121.6,139.1,17.5,92,1
"310",108.6,124.2,15.6,92,1
"311",111.8,129.5,17.7,92,1
"312",107.2,123.7,16.5,92,1
"313",115.9,130.6,14.7,92,1
"314",121.4,134.7,13.3,92,1
"315",137.4,153.9,16.5,92,1
"316",133.7,148.4,14.7,92,1
"317",115.7,130.1,14.4,92,1
"318",122.2,135.8,13.6,92,1
"319",126.2,140.3,14.1,92,1
"320",125.5,138.7,13.2,92,1
"321",128.3,140.6,12.3,92,1
"322",112.9,127.6,14.8,92,1
"323",110.8,127.7,16.8,92,1
"324",111,127.5,16.5,92,1
"325",125.3,138.3,13,92,1
"326",110.9,127.3,16.4,92,1
"327",137.7,151.5,13.9,92,1
"328",126.6,140.5,13.9,92,1
"329",112,128.5,16.5,92,1
"330",130.5,145.9,15.4,92,1
"331",119.6,135.5,15.9,92,1
"332",108.8,125.4,16.6,92,1
"333",132.9,146.3,13.4,92,1
"334",126,144.5,18.5,92,1
"335",130.8,148.8,18,92,1
"336",111.9,127.8,15.9,92,1
"337",120.7,137.7,17,92,1
"338",135.7,149.6,14,92,1
"339",112.6,128,15.4,92,1
"340",123.1,141.8,18.7,92,1
"341",121,138.5,17.5,92,1
"342",119.9,136.1,16.2,92,1
"343",113.6,130.1,16.5,92,1
"344",122.7,139.2,16.5,92,1
"345",140,153.4,13.4,92,1
"346",125.5,141.6,16.1,92,1
"347",122.1,138.6,16.4,92,1
"348",140.7,153,12.3,92,1
"349",127,139.8,12.8,92,1
"350",127.6,140.8,13.2,92,1
"351",122.6,138,15.4,92,1
"352",135,146.7,11.7,92,1
"353",119.4,135.9,16.5,92,1
"354",130.4,144.4,14,92,1
"355",125,138.5,13.5,92,1
"356",108.9,125.3,16.4,92,1
"357",114.8,131.9,17.1,92,1
"358",121.6,134.3,12.6,92,1
"359",134.8,147.8,13,92,1
"360",133.9,147.7,13.7,92,1
"361",128.1,144.2,16.1,92,1
"362",115.3,132,16.7,92,1
"363",120.9,136.1,15.2,92,1
"364",130.2,148.1,18,92,1
"365",132.7,147.5,14.9,92,1
"366",108,122.4,14.4,92,1
"367",133.9,147.7,13.7,92,1
"368",128.1,144.2,16.1,92,1
"369",115.3,132,16.7,92,1
"370",120.9,136.1,15.2,92,1
"371",130.2,148.1,18,92,1
"372",132.7,147.5,14.9,92,1
"373",108,122.4,14.4,92,1
"374",118.7,135.8,17.1,92,1
"375",120,135.2,15.2,92,1
"376",109.1,126.5,17.4,92,1
"377",124.1,140.3,16.2,92,1
"378",133.2,145.8,12.6,92,1
"379",139.6,152.1,12.5,92,1
"380",133.9,147,13.1,92,1
"381",137.2,150.4,13.3,92,1
"382",143.1,155.7,12.6,92,1
"383",128.8,140.5,11.6,92,1
"384",121.7,139.3,17.6,92,1
"385",116.3,131.5,15.1,92,1
"386",130.1,142.7,12.6,92,1
"387",146.4,158.2,11.9,92,1
"388",118.9,135.8,16.8,92,1
"389",132.9,147.2,14.3,92,1
"390",135.2,150,14.8,92,1
"391",135,148.2,13.2,92,1
"392",125.4,139.8,14.4,92,1
"393",126.7,143.7,17,92,1
"394",125,141.3,16.4,92,1
"395",133.2,147.2,14,92,1
"396",124.3,139.7,15.5,92,1
"397",115.3,130.3,15,92,1
"398",136.8,149.3,12.5,92,1
"399",137.6,150.4,12.7,92,1
"400",147.5,160,12.5,92,1
"401",147.5,161.6,14.1,92,1
"402",136,149.3,13.3,92,1
"403",113.3,129.2,16,92,1
"404",126.3,142.7,16.4,92,1
"405",129.6,143.6,14,92,1
"406",116.3,132,15.7,92,1
"407",116.6,133.2,16.6,92,1
"408",120.9,137.8,16.9,92,1
"409",131,145.4,14.4,92,1
"410",136.5,150.8,14.2,92,1
"411",133.3,147.2,13.9,92,1
"412",132,143.7,11.8,92,1
"413",131.4,144.7,13.2,92,1
"414",135.8,148.1,12.3,92,1
"415",118.6,135.4,16.8,92,1
"416",129.8,145.8,16,92,1
"417",141.2,154.2,13,92,1
"418",132,144.3,12.3,92,1
"419",118.7,133.7,15,92,1
"420",141.5,155.4,13.9,92,1
"421",130.7,142.4,11.8,92,1
"422",137.7,149.5,11.8,92,1
"423",143,157.1,14.1,92,1
"424",134.7,147.6,12.9,92,1
"425",131.2,143.5,12.3,92,1
"426",125.9,138.9,13,92,1
"427",144.8,157,12.2,92,1
"428",128.5,140.8,12.3,92,1
"429",143.4,156.4,13,92,1
"430",141.7,153.1,11.4,92,1
"431",139.2,152.3,13,92,1
"432",115.8,130.5,14.7,92,1
"433",137.2,149.8,12.6,92,1
"434",131,142.3,11.3,92,1
"435",141.9,153.4,11.5,92,1
"436",133.4,147.9,14.4,92,1
"437",134.3,149.9,15.6,92,1
"438",137.9,152.2,14.3,92,1
"439",138.6,150.4,11.8,92,1
"440",130.8,141.8,11,92,1
"441",138.1,152.4,14.4,92,1
"442",121.9,133.7,11.8,92,1
"443",136.9,147.1,10.2,92,1
"444",138.6,151.7,13.2,92,1
"445",141.4,153.6,12.2,92,1
"446",132.2,145.2,13,92,1
"447",124.5,141.6,17.1,92,1
"448",125.7,138.3,12.6,92,1
"449",119.3,135.2,15.9,92,1
"450",140.7,153.5,12.8,92,1
"451",139.6,153.3,13.7,92,1
"452",139.6,151.6,12,92,1
"453",138,152.9,14.9,92,1
"454",134.8,147.5,12.7,92,1
"455",124.4,141.9,17.6,92,1
"456",132.6,145.9,13.3,92,1
"457",125.1,140.3,15.2,92,1
"458",135.3,148.5,13.2,92,1
"459",139.1,151.4,12.2,92,1
"460",129.7,138.6,8.8,92,1
"461",134.9,146.4,11.6,92,1
"462",118.7,134.3,15.6,92,1
"463",138.3,154.1,15.8,92,1
"464",131.2,146.4,15.2,92,1
"465",135.2,149.4,14.2,92,1
"466",119.4,134.7,15.3,92,1
"467",148.1,161.7,13.6,92,1
"468",135.9,150.3,14.4,92,1
"469",135.6,151.2,15.6,92,1
"470",129.6,143.5,13.9,92,1
"471",134.1,148.3,14.2,92,1
"472",114.4,129.2,14.8,92,1
