"","name","team","position","games","AB","R","H","doubles","triples","HR","RBI","walks","strike_outs","stolen_bases","caught_stealing_base","AVG","OBP","SLG","OPS"
"19"," Segura, J","SEA","SS",144,586,91,178,29,3,10,63,32,69,20,11,0.304,0.341,0.415,0.755
"20"," Cano, R","SEA","2B",80,310,44,94,22,0,10,50,32,47,0,0,0.303,0.374,0.471,0.845
"21"," Kendrick, H","WSH","2B",40,152,17,46,14,0,4,12,5,29,1,1,0.303,0.331,0.474,0.805
"22"," Eaton, A","WSH","RF",95,319,55,96,18,1,5,33,38,64,9,1,0.301,0.394,0.411,0.805
"23"," Wendle, J","TB","2B",139,487,62,146,33,6,7,61,37,96,16,4,0.3,0.354,0.435,0.789
"24"," Dickerson, C","PIT","LF",135,504,65,151,35,7,13,55,21,80,8,3,0.3,0.33,0.474,0.804
"25"," Winker, J","CIN","RF",89,281,38,84,16,0,7,43,49,46,0,0,0.299,0.405,0.431,0.836
"26"," Murphy, D","CHC","2B",91,328,40,98,15,0,12,42,20,40,3,0,0.299,0.336,0.454,0.79
"27"," Cabrera, M","DET","1B",38,134,17,40,11,0,3,22,22,27,0,0,0.299,0.395,0.448,0.843
"28"," Castellanos, N","DET","RF",157,620,88,185,46,5,23,89,49,151,2,1,0.298,0.354,0.5,0.854
"29"," Machado, M","LAD","SS",162,632,84,188,35,3,37,107,70,104,14,2,0.297,0.367,0.538,0.905
"30"," Markakis, N","ATL","RF",162,623,78,185,43,2,14,93,72,80,1,1,0.297,0.366,0.44,0.806
"31"," Andujar, M","NYY","3B",149,573,83,170,47,2,27,92,25,97,2,1,0.297,0.328,0.527,0.855
"32"," Arenado, N","COL","3B",156,590,104,175,38,2,38,110,73,122,2,2,0.297,0.374,0.561,0.935
"33"," Freese, D","LAD","3B",113,280,38,83,12,2,11,51,24,72,0,0,0.296,0.359,0.471,0.83
"34"," Martini, N","OAK","LF",55,152,26,45,9,3,1,19,21,36,0,0,0.296,0.397,0.414,0.811
"35"," Smith, M","TB","CF",141,480,65,142,27,10,2,40,47,98,40,12,0.296,0.367,0.406,0.773
"36"," Duffy, M","TB","3B",132,503,59,148,22,1,4,44,47,93,12,6,0.294,0.361,0.366,0.727
"37"," Acuna Jr., R","ATL","LF",111,433,78,127,26,4,26,64,45,123,16,5,0.293,0.366,0.552,0.917
"38"," Casali, C","CIN","C",52,140,15,41,10,0,4,16,12,32,0,2,0.293,0.355,0.45,0.805
"39"," Peralta, D","ARI","LF",146,560,75,164,25,5,30,87,48,124,4,0,0.293,0.352,0.516,0.868
"40"," Williams, M","CIN","RF",51,123,10,36,5,1,2,6,7,29,1,2,0.293,0.331,0.398,0.729
"41"," Simmons, A","LAA","SS",146,554,68,162,26,5,11,75,35,44,10,2,0.292,0.337,0.417,0.754
"42"," Smith, K","LAA","C",52,171,21,50,6,0,3,21,10,18,1,0,0.292,0.348,0.38,0.728
"43"," Soto, J","WSH","LF",116,414,77,121,25,1,22,70,79,99,5,2,0.292,0.406,0.517,0.923
"44"," Story, T","COL","SS",157,598,88,174,42,6,37,108,47,168,27,6,0.291,0.348,0.567,0.914
"45"," Blackmon, C","COL","CF",156,626,119,182,31,7,29,70,59,134,12,4,0.291,0.358,0.502,0.86
"46"," Gurriel, Y","HOU","1B",136,537,70,156,33,1,13,85,23,63,5,1,0.291,0.323,0.428,0.751
"47"," Baez, J","CHC","2B",160,606,101,176,40,9,34,111,29,167,21,9,0.29,0.326,0.554,0.881
"48"," Benintendi, A","BOS","LF",148,579,103,168,41,6,16,87,71,106,21,3,0.29,0.366,0.465,0.83
"49"," Goldschmidt, P","ARI","1B",158,593,95,172,35,5,33,83,90,173,7,4,0.29,0.389,0.533,0.922
"50"," Kemp, M","LAD","LF",146,462,62,134,25,0,21,85,36,115,0,0,0.29,0.338,0.481,0.818
"51"," Bogaerts, X","BOS","SS",136,513,72,148,45,3,23,103,55,102,8,2,0.288,0.36,0.522,0.883
"52"," Laureano, R","OAK","RF",48,156,27,45,12,1,5,19,16,50,7,1,0.288,0.358,0.474,0.832
"53"," Polanco, J","MIN","SS",77,302,38,87,18,3,6,42,25,62,7,7,0.288,0.345,0.427,0.773
"54"," Rosario, E","MIN","LF",138,559,87,161,31,2,24,77,30,104,8,2,0.288,0.323,0.479,0.803
"55"," Peraza, J","CIN","SS",157,632,85,182,31,4,14,58,29,75,23,6,0.288,0.326,0.416,0.742
"56"," Meadows, A","TB","CF",59,178,19,51,9,2,6,17,10,40,5,1,0.287,0.325,0.461,0.785
"57"," Bregman, A","HOU","3B",157,594,105,170,51,1,31,103,96,85,10,4,0.286,0.394,0.532,0.926
"58"," Almora Jr., A","CHC","CF",152,444,62,127,24,1,5,41,24,83,1,3,0.286,0.323,0.378,0.701
"59"," Diaz, E","PIT","C",82,252,33,72,12,0,10,34,21,40,0,1,0.286,0.339,0.452,0.792
"60"," Ohtani, S","LAA","P",104,326,59,93,21,2,22,61,37,102,10,4,0.285,0.361,0.564,0.925
"61"," Haniger, M","SEA","RF",157,596,90,170,38,4,26,93,70,148,8,2,0.285,0.366,0.493,0.859
"62"," Votto, J","CIN","1B",145,503,67,143,28,2,12,67,108,101,2,0,0.284,0.417,0.419,0.837
"63"," Parra, G","COL","LF",142,401,52,114,17,0,6,53,32,75,11,4,0.284,0.342,0.372,0.714
"64"," Posey, B","SF","C",105,398,47,113,22,1,5,41,45,53,3,2,0.284,0.359,0.382,0.741
"65"," Pearce, S","BOS","1B",76,215,35,61,14,1,11,42,29,41,0,0,0.284,0.378,0.512,0.89
"66"," Suarez, E","CIN","3B",143,527,79,149,22,2,34,104,64,142,1,1,0.283,0.366,0.526,0.892
"67"," Rizzo, A","CHC","1B",153,566,74,160,29,1,25,101,70,80,6,4,0.283,0.376,0.47,0.846
"68"," Mauer, J","MIN","1B",127,486,64,137,27,1,6,48,51,86,0,1,0.282,0.351,0.379,0.729
"69"," Gurriel Jr., L","TOR","2B",65,249,30,70,8,0,11,35,9,59,1,2,0.281,0.309,0.446,0.755
"70"," Jones, A","BAL","CF",145,580,54,163,35,0,15,63,24,93,7,1,0.281,0.313,0.419,0.732
"71"," Ozuna, M","STL","LF",148,582,69,163,16,2,23,88,38,110,3,0,0.28,0.325,0.433,0.758
"72"," Cabrera, M","CLE","RF",78,250,28,70,17,0,6,39,20,38,1,1,0.28,0.335,0.42,0.755
"73"," Torreyes, R","NYY","2B",41,100,9,28,7,1,0,7,2,16,0,0,0.28,0.294,0.37,0.664
"74"," Reyes, F","SD","RF",87,261,36,73,9,0,16,31,24,80,0,0,0.28,0.34,0.498,0.838
"75"," LaMarre, R","CWS","CF",76,165,15,46,11,0,2,18,10,53,2,2,0.279,0.322,0.382,0.704
"76"," Judge, A","NYY","RF",112,413,77,115,22,0,27,67,76,152,6,3,0.278,0.392,0.528,0.919
"77"," Castro, S","MIA","2B",154,593,76,165,32,2,12,54,48,124,6,4,0.278,0.329,0.4,0.729
"78"," Chapman, M","OAK","3B",145,547,100,152,42,6,24,68,58,146,1,2,0.278,0.356,0.508,0.864
"79"," Adames, W","TB","SS",85,288,43,80,7,0,10,34,31,95,6,5,0.278,0.348,0.406,0.754
"80"," Marte, S","PIT","CF",145,559,81,155,32,5,20,72,35,109,33,14,0.277,0.327,0.46,0.787
"81"," Holt, B","BOS","2B",109,321,41,89,18,2,7,46,37,73,7,7,0.277,0.362,0.411,0.774
"82"," Moran, C","PIT","3B",144,415,49,115,19,1,11,58,39,82,0,2,0.277,0.34,0.407,0.747
"83"," Lindor, F","CLE","SS",158,661,129,183,42,2,38,92,70,107,25,10,0.277,0.352,0.519,0.871
"84"," Frazier, A","PIT","2B",113,318,52,88,23,2,10,35,29,53,1,3,0.277,0.342,0.456,0.798
"85"," Realmuto, J","MIA","C",125,477,74,132,30,3,21,74,38,104,3,2,0.277,0.34,0.484,0.825
"86"," Gonzalez, C","COL","RF",132,463,71,128,32,4,16,64,37,113,5,2,0.276,0.329,0.467,0.796
"87"," Munoz, Y","STL","SS",108,293,39,81,16,0,8,42,30,71,5,6,0.276,0.35,0.413,0.763
"88"," Mondesi, A","KC","SS",75,275,47,76,13,3,14,37,11,77,32,7,0.276,0.306,0.498,0.804
"89"," White, T","HOU","1B",66,210,27,58,12,3,12,42,24,49,0,1,0.276,0.354,0.533,0.888
"90"," LeMahieu, D","COL","2B",128,533,90,147,32,2,15,62,37,82,6,5,0.276,0.321,0.428,0.749
"91"," Pham, T","TB","CF",137,494,102,136,18,6,21,63,67,140,15,7,0.275,0.367,0.464,0.83
"92"," Narvaez, O","CWS","C",97,280,30,77,14,1,9,30,38,65,0,2,0.275,0.366,0.429,0.794
"93"," Fletcher, D","LAA","3B",80,284,35,78,18,2,1,25,15,34,3,0,0.275,0.316,0.363,0.678
"94"," Aguilar, J","MIL","1B",149,492,80,135,25,0,35,108,58,143,0,0,0.274,0.352,0.539,0.89
"95"," Dahl, D","COL","RF",77,249,31,68,11,3,16,48,19,68,5,3,0.273,0.325,0.534,0.859
"96"," Anderson, B","MIA","RF",156,590,87,161,34,4,11,65,62,129,2,4,0.273,0.357,0.4,0.757
"97"," Grossman, R","MIN","RF",129,396,50,108,27,1,5,48,60,83,0,1,0.273,0.367,0.384,0.751
"98"," Beltre, A","TEX","3B",119,433,49,118,23,1,15,65,34,96,1,0,0.273,0.328,0.434,0.763
"99"," Bryant, K","CHC","3B",102,389,59,106,28,3,13,52,48,107,2,4,0.272,0.374,0.46,0.834
"100"," Gamel, B","SEA","LF",101,257,37,70,14,4,1,19,31,61,7,3,0.272,0.358,0.37,0.728
"101"," Escobar, E","ARI","3B",151,566,75,154,48,3,23,84,52,126,2,4,0.272,0.334,0.489,0.824
"102"," Camargo, J","ATL","3B",134,464,63,126,27,1,19,76,51,108,1,1,0.272,0.349,0.457,0.806
"103"," Ellis, A","SD","C",66,151,19,41,8,0,1,15,26,37,0,0,0.272,0.378,0.344,0.722
"104"," Torres, G","NYY","2B",123,431,54,117,16,1,24,77,42,122,6,2,0.271,0.34,0.48,0.82
"105"," Garcia, L","CWS","LF",82,258,23,70,7,4,4,32,9,69,12,1,0.271,0.303,0.376,0.679
"106"," Turner, T","WSH","SS",162,664,103,180,27,6,19,73,69,132,43,9,0.271,0.344,0.416,0.76
"107"," Suzuki, K","ATL","C",105,347,45,94,24,0,12,50,22,43,0,0,0.271,0.332,0.444,0.776
"108"," Heyward, J","CHC","RF",127,440,67,119,23,4,8,57,42,60,1,1,0.27,0.335,0.395,0.731
"109"," Culberson, C","ATL","LF",113,296,47,80,18,2,12,45,21,85,4,2,0.27,0.326,0.466,0.792
"110"," Franco, M","PHI","3B",131,433,48,117,17,1,22,68,29,62,1,0,0.27,0.314,0.467,0.78
"111"," Ramirez, J","CLE","3B",157,578,110,156,38,4,39,105,106,80,34,6,0.27,0.387,0.552,0.939
"112"," Gentry, C","BAL","RF",68,156,13,42,5,2,1,11,11,31,12,3,0.269,0.321,0.346,0.668
"113"," Iglesias, J","DET","SS",125,432,43,116,31,3,5,48,19,47,15,6,0.269,0.31,0.389,0.699
"114"," Garver, M","MIN","C",102,302,38,81,19,2,7,45,29,72,0,0,0.268,0.335,0.414,0.749
"115"," Gordon, D","SEA","2B",141,556,62,149,17,8,4,36,9,80,30,12,0.268,0.288,0.349,0.637
"116"," Gregorius, D","NYY","SS",134,504,89,135,23,5,27,86,48,69,10,6,0.268,0.335,0.494,0.829
"117"," Jay, J","ARI","RF",143,527,74,141,19,7,3,40,33,95,4,3,0.268,0.33,0.347,0.678
"118"," Piscotty, S","OAK","RF",151,546,78,146,41,0,27,88,42,114,2,0,0.267,0.331,0.491,0.821
"119"," Seager, C","LAD","SS",26,101,13,27,5,1,2,13,11,17,0,0,0.267,0.348,0.396,0.744
"120"," Fernandez, J","LAA","2B",36,116,9,31,8,0,2,11,6,15,1,0,0.267,0.309,0.388,0.697
"121"," Adduci, J","DET","1B",59,176,19,47,8,2,3,21,6,45,1,0,0.267,0.29,0.386,0.676
"122"," Flores, W","NYM","1B",126,386,43,103,25,0,11,51,29,42,0,0,0.267,0.319,0.417,0.736
"123"," Lowrie, J","OAK","2B",157,596,78,159,37,1,23,99,78,128,0,0,0.267,0.353,0.448,0.801
"124"," Puig, Y","LAD","RF",125,405,60,108,21,1,23,63,36,87,15,5,0.267,0.327,0.494,0.82
"125"," La Stella, T","CHC","3B",123,169,23,45,8,0,1,19,17,27,0,1,0.266,0.34,0.331,0.672
"126"," Stanton, G","NYY","LF",158,617,102,164,34,1,38,100,70,211,5,0,0.266,0.343,0.509,0.852
"127"," Gomes, Y","CLE","C",112,403,52,107,26,0,16,48,21,119,0,0,0.266,0.313,0.449,0.762
"128"," Santana, D","MIL","RF",85,211,21,56,14,1,5,20,20,77,1,1,0.265,0.328,0.412,0.74
"129"," Cave, J","MIN","CF",91,283,54,75,16,2,13,45,18,102,2,1,0.265,0.313,0.473,0.786
"130"," Gonzalez, E","CLE","2B",81,136,17,36,10,1,1,16,5,34,3,0,0.265,0.301,0.375,0.676
"131"," Springer, G","HOU","CF",140,544,102,144,26,0,22,71,64,122,6,4,0.265,0.346,0.434,0.78
"132"," Inciarte, E","ATL","CF",156,597,83,158,27,6,10,61,49,86,28,14,0.265,0.325,0.38,0.705
"133"," Nunez, E","BOS","2B",127,480,56,127,23,3,10,44,16,69,7,2,0.265,0.289,0.388,0.677
"134"," Soler, J","KC","RF",61,223,27,59,18,0,9,28,28,69,3,1,0.265,0.354,0.466,0.82
"135"," Abreu, J","CWS","1B",128,499,68,132,36,1,22,78,37,109,2,0,0.265,0.325,0.473,0.798
"136"," Dietrich, D","MIA","LF",149,499,72,132,26,2,16,45,29,140,2,0,0.265,0.33,0.421,0.751
"137"," Naquin, T","CLE","RF",61,174,22,46,7,0,3,23,6,42,1,1,0.264,0.295,0.356,0.651
"138"," Choo, S","TEX","RF",146,560,83,148,30,1,21,62,92,156,6,1,0.264,0.377,0.434,0.81
"139"," Tilson, C","CWS","CF",41,106,7,28,1,1,0,11,10,20,2,3,0.264,0.331,0.292,0.623
"140"," Zimmerman, R","WSH","1B",85,288,33,76,21,2,13,51,30,55,1,1,0.264,0.337,0.486,0.824
"141"," Bader, H","STL","RF",138,379,61,100,20,2,12,37,31,125,15,3,0.264,0.334,0.422,0.756
"142"," Muncy, M","LAD","1B",137,395,75,104,17,2,35,79,79,131,3,0,0.263,0.391,0.582,0.973
"143"," Nimmo, B","NYM","CF",140,433,77,114,28,8,17,47,80,140,9,6,0.263,0.404,0.483,0.886
"144"," Choi, J","TB","1B",61,190,25,50,14,1,10,32,26,55,2,0,0.263,0.357,0.505,0.863
"145"," Diaz, A","TOR","SS",130,422,55,111,26,0,18,55,23,62,3,4,0.263,0.303,0.453,0.756
"146"," Kemp, T","HOU","LF",97,255,37,67,15,0,6,30,32,44,9,3,0.263,0.351,0.392,0.743
"147"," Valencia, D","BAL","3B",78,255,28,67,8,1,9,28,22,53,1,1,0.263,0.316,0.408,0.723
"148"," Cespedes, Y","NYM","LF",38,141,20,37,6,0,9,29,13,50,3,0,0.262,0.325,0.496,0.821
"149"," Robertson, D","TB","2B",87,282,46,74,16,0,9,34,43,77,2,2,0.262,0.382,0.415,0.797
"150"," Gyorko, J","STL","3B",125,351,49,92,19,1,11,47,44,77,2,0,0.262,0.346,0.416,0.762
"151"," Cabrera, A","PHI","2B",147,546,68,143,36,1,23,75,41,119,0,0,0.262,0.316,0.458,0.774
"152"," O'Hearn, R","KC","1B",44,149,23,39,10,2,12,30,20,45,0,0,0.262,0.353,0.597,0.95
"153"," Alfaro, J","PHI","C",108,344,35,90,16,2,10,37,18,138,3,0,0.262,0.324,0.407,0.731
"154"," Bell, J","PIT","1B",148,501,74,131,31,4,12,62,77,104,2,5,0.261,0.357,0.411,0.768
"155"," Molina, Y","STL","C",123,459,55,120,20,0,20,74,29,66,4,3,0.261,0.314,0.436,0.75
"156"," Albies, O","ATL","2B",158,639,105,167,40,5,24,72,36,116,14,3,0.261,0.305,0.452,0.757
"157"," Kiner-Falefa, I","TEX","3B",111,356,43,93,18,2,4,34,28,62,7,5,0.261,0.325,0.357,0.682
"158"," Span, D","SEA","LF",137,437,63,114,22,7,11,58,51,79,9,4,0.261,0.341,0.419,0.76
"159"," Trumbo, M","BAL","DH",90,330,41,86,12,0,17,44,24,87,0,0,0.261,0.313,0.452,0.764
"160"," Hicks, J","DET","1B",81,288,35,75,12,1,9,32,22,84,0,1,0.26,0.312,0.403,0.715
"161"," Bellinger, C","LAD","1B",162,557,84,145,28,7,25,76,69,151,14,1,0.26,0.343,0.47,0.814
"162"," Villar, J","BAL","2B",141,466,54,121,14,1,14,46,41,138,35,5,0.26,0.325,0.384,0.709
"163"," Marte, K","ARI","2B",153,520,68,135,26,12,14,59,54,79,6,1,0.26,0.332,0.437,0.768
"164"," Quinn, R","PHI","CF",50,131,13,34,6,4,2,12,10,35,10,4,0.26,0.317,0.412,0.729
"165"," Jankowski, T","SD","RF",117,347,45,90,12,3,4,17,37,73,24,7,0.259,0.332,0.346,0.678
"166"," Cervelli, F","PIT","C",104,332,39,86,15,3,12,57,51,84,2,3,0.259,0.378,0.431,0.809
"167"," Castillo, W","CWS","C",49,170,17,44,7,0,6,15,9,46,1,0,0.259,0.304,0.406,0.71
"168"," Nunez, R","BAL","3B",73,236,28,61,14,0,8,22,19,62,0,0,0.258,0.322,0.419,0.741
"169"," Pinder, C","OAK","LF",110,298,43,77,12,1,13,27,27,88,0,2,0.258,0.332,0.436,0.769
"170"," Mazara, N","TEX","RF",128,489,61,126,25,1,20,77,40,116,1,0,0.258,0.317,0.436,0.753
"171"," Carpenter, M","STL","3B",156,564,111,145,42,0,36,81,102,158,4,1,0.257,0.374,0.523,0.897
"172"," Upton, J","LAA","LF",145,533,80,137,18,1,30,85,64,176,8,2,0.257,0.344,0.463,0.808
"173"," Pollock, A","ARI","CF",113,413,61,106,21,5,21,65,31,100,13,2,0.257,0.316,0.484,0.8
"174"," Allen, G","CLE","CF",91,265,36,68,11,3,2,20,14,58,21,4,0.257,0.31,0.343,0.654
"175"," Rosario, A","NYM","SS",154,554,76,142,26,8,9,51,29,119,24,11,0.256,0.295,0.381,0.676
"176"," Cruz, N","SEA","DH",144,519,70,133,18,1,37,97,55,122,1,0,0.256,0.342,0.509,0.85
"177"," Hernandez, K","LAD","CF",145,402,67,103,17,3,21,52,50,78,3,0,0.256,0.336,0.47,0.806
"178"," Andrus, E","TEX","SS",97,395,53,101,20,3,6,33,28,66,5,3,0.256,0.308,0.367,0.675
"179"," Williams, N","PHI","RF",140,407,53,104,12,3,17,50,32,111,3,2,0.256,0.324,0.425,0.749
"180"," Duggar, S","SF","CF",41,141,20,36,11,1,2,17,10,44,5,1,0.255,0.303,0.39,0.693
"181"," Schebler, S","CIN","RF",107,380,55,97,19,0,17,49,39,99,4,2,0.255,0.337,0.439,0.777
"182"," McCutchen, A","NYY","RF",155,569,83,145,30,3,20,65,95,145,14,9,0.255,0.368,0.424,0.792
"183"," Semien, M","OAK","SS",159,632,89,161,35,2,15,70,61,131,14,6,0.255,0.318,0.388,0.706
"184"," Martin, L","CLE","CF",84,318,48,81,15,3,11,33,30,77,7,4,0.255,0.323,0.425,0.747
"185"," Herrera, O","PHI","CF",148,550,64,140,19,3,22,71,38,122,5,2,0.255,0.31,0.42,0.73
"186"," Wynns, A","BAL","C",42,110,16,28,2,0,4,11,5,25,0,0,0.255,0.287,0.382,0.669
"187"," Braun, R","MIL","LF",125,405,59,103,25,1,20,64,34,85,11,5,0.254,0.313,0.469,0.782
"188"," Crawford, B","SF","SS",151,531,63,135,28,2,14,54,50,122,4,5,0.254,0.325,0.394,0.719
"189"," Ramirez, H","BOS","1B",44,177,25,45,7,0,6,29,14,35,4,1,0.254,0.313,0.395,0.708
"190"," Panik, J","SF","2B",102,358,38,91,14,1,4,24,26,30,4,2,0.254,0.307,0.332,0.639
"191"," O'Neill, T","STL","LF",61,130,29,33,5,0,9,23,7,57,2,0,0.254,0.303,0.5,0.803
"192"," Profar, J","TEX","SS",146,524,82,133,35,6,20,77,54,88,10,0,0.254,0.335,0.458,0.793
"193"," Polanco, G","PIT","RF",130,461,75,117,32,6,23,81,61,117,12,2,0.254,0.34,0.499,0.839
"194"," Taylor, C","LAD","SS",155,536,85,136,35,8,17,63,55,178,9,6,0.254,0.331,0.444,0.775
"195"," Cron, C","TB","1B",140,501,68,127,28,1,30,74,37,145,1,2,0.253,0.323,0.493,0.816
"196"," Myers, W","SD","LF",83,312,39,79,25,1,11,39,30,94,13,1,0.253,0.318,0.446,0.763
"197"," Odor, R","TEX","2B",129,474,76,120,23,2,18,63,43,127,12,12,0.253,0.326,0.424,0.751
"198"," Perez, H","MIL","2B",132,316,36,80,11,2,9,29,17,71,11,3,0.253,0.29,0.386,0.676
"199"," Belt, B","SF","1B",112,399,50,101,18,2,14,46,49,107,4,0,0.253,0.342,0.414,0.756
"200"," Hernandez, C","PHI","2B",161,605,91,153,15,3,15,60,95,155,19,6,0.253,0.356,0.362,0.718
"201"," Hosmer, E","SD","1B",157,613,72,155,31,2,18,69,62,142,7,4,0.253,0.322,0.398,0.72
"202"," Ervin, P","CIN","RF",78,218,27,55,10,1,7,31,20,60,6,1,0.252,0.324,0.404,0.728
"203"," McKinney, B","TOR","LF",38,119,14,30,7,0,6,13,11,33,1,0,0.252,0.318,0.462,0.78
"204"," Rojas, M","MIA","SS",153,488,44,123,13,0,11,53,24,69,6,3,0.252,0.297,0.346,0.643
"205"," Pillar, K","TOR","CF",142,512,65,129,40,2,15,59,18,98,14,3,0.252,0.282,0.426,0.708
"206"," Hanson, A","SF","2B",110,294,36,74,17,5,8,39,9,71,7,3,0.252,0.274,0.425,0.699
"207"," Pina, M","MIL","C",98,306,39,77,13,2,9,28,21,62,2,0,0.252,0.307,0.395,0.702
"208"," Moustakas, M","MIL","3B",152,573,66,144,33,1,28,95,49,103,4,1,0.251,0.315,0.459,0.774
"209"," Mercer, J","PIT","SS",117,394,43,99,29,2,6,39,32,87,2,0,0.251,0.315,0.381,0.696
"210"," Slater, A","SF","LF",74,199,21,50,6,1,1,23,20,69,7,0,0.251,0.333,0.307,0.64
"211"," Adrianza, E","MIN","SS",114,335,42,84,23,1,6,39,24,82,5,1,0.251,0.301,0.379,0.68
"212"," Martinez, V","DET","DH",133,467,32,117,21,0,9,54,32,49,0,0,0.251,0.297,0.353,0.651
"213"," Alonso, Y","CLE","1B",145,516,64,129,19,0,23,83,51,123,0,0,0.25,0.317,0.421,0.738
"214"," Harrison, J","PIT","2B",97,344,41,86,13,1,8,37,18,68,3,0,0.25,0.293,0.363,0.656
"215"," Russell, A","CHC","SS",130,420,52,105,21,1,5,38,40,99,4,0,0.25,0.317,0.34,0.657
"216"," Morales, K","TOR","DH",130,413,47,103,15,0,21,57,50,95,2,3,0.249,0.331,0.438,0.769
"217"," Canha, M","OAK","CF",122,365,60,91,22,0,17,52,34,88,1,2,0.249,0.328,0.449,0.778
"218"," Wong, K","STL","2B",127,353,41,88,18,2,9,38,31,60,6,5,0.249,0.332,0.388,0.72
"219"," Harper, B","WSH","RF",159,550,103,137,34,0,34,100,130,169,13,3,0.249,0.393,0.496,0.889
"220"," Contreras, W","CHC","C",138,474,50,118,27,5,10,54,53,121,4,1,0.249,0.339,0.39,0.73
"221"," Pirela, J","SD","2B",146,438,54,109,23,2,5,32,30,89,6,3,0.249,0.3,0.345,0.645
"222"," Maybin, C","SEA","LF",129,342,32,85,14,2,4,28,38,75,10,5,0.249,0.326,0.336,0.662
"223"," Renfroe, H","SD","RF",117,403,53,100,23,1,26,68,30,109,2,1,0.248,0.302,0.504,0.805
"224"," Pederson, J","LAD","LF",148,395,65,98,27,3,25,56,40,85,1,5,0.248,0.321,0.522,0.843
"225"," Hicks, A","NYY","CF",137,480,90,119,18,3,27,79,90,111,11,2,0.248,0.366,0.467,0.833
"226"," Barnhart, T","CIN","C",138,460,50,114,21,3,10,46,54,96,0,4,0.248,0.328,0.372,0.699
"227"," Miller, B","MIL","2B",75,230,21,57,13,2,7,29,22,82,0,0,0.248,0.311,0.413,0.724
"228"," Sandoval, P","SF","3B",92,230,22,57,10,1,9,40,19,52,0,0,0.248,0.31,0.417,0.727
"229"," Reynolds, M","WSH","1B",86,206,26,51,8,0,13,40,24,64,0,0,0.248,0.328,0.476,0.803
"230"," Maile, L","TOR","C",68,202,22,50,13,1,3,27,25,67,2,0,0.248,0.333,0.366,0.7
"231"," Galvis, F","SD","SS",162,602,62,149,31,5,13,67,45,147,8,6,0.248,0.299,0.38,0.68
"232"," Gonzalez, M","HOU","LF",145,489,61,121,25,3,16,68,53,126,2,3,0.247,0.324,0.409,0.733
"233"," Hechavarria, A","NYY","SS",94,296,34,73,11,0,6,31,16,58,2,0,0.247,0.279,0.345,0.624
"234"," Olson, M","OAK","1B",162,580,85,143,33,0,29,84,70,163,2,1,0.247,0.335,0.453,0.788
"235"," Davis, K","OAK","LF",151,576,98,142,28,1,48,123,59,175,0,0,0.247,0.326,0.549,0.874
"236"," Saladino, T","MIL","SS",58,126,13,31,4,0,5,16,9,41,2,2,0.246,0.299,0.397,0.696
"237"," Encarnacion, E","CLE","DH",137,500,74,123,16,1,32,107,63,132,3,0,0.246,0.336,0.474,0.81
"238"," Donaldson, J","CLE","3B",52,187,30,46,14,0,8,23,31,54,2,0,0.246,0.352,0.449,0.801
"239"," Hoskins, R","PHI","LF",153,558,89,137,38,0,34,96,87,150,5,3,0.246,0.354,0.496,0.85
