"","Country","fert_1997","fert_2000","fert_2002","fert_2005","fert_2006"
"89","Korea, Dem. Rep.",1.633,1.5502,1.495,1.4638,1.4534
"90","Korea, Rep.",2.816,3.0488,3.204,3.6774,3.8352
"91","Kuwait",21.176,16.985,14.191,13.591,13.391
"92","Kyrgyzstan",37.624,33.9496,31.5,31.3638,31.3184
"93","Laos",90.492,89.2302,88.389,78.6516,75.4058
"94","Latvia",21.898,18.9034,16.907,15.3278,14.8014
"95","Lebanon",32.017,28.9192,26.854,25.7188,25.3404
"96","Lesotho",94.02,91.3626,89.591,79.9148,76.6894
"97","Liberia",226.712,226.712,226.712,221.9456,220.3568
"98","Libya",4.912,4.2916,3.878,3.4472,3.3036
"99","Lithuania",32.774,25.9868,21.462,19.6572,19.0556
"100","Luxembourg",10.225,11.1442,11.757,10.5378,10.1314
"101","Macao, China",6.071,5.1764,4.58,4.7894,4.8592
"102","Macedonia, FYR",32.213,27.9644,25.132,22.8352,22.0696
"103","Madagascar",155.119,151.7314,149.473,139.453,136.113
"104","Malawi",162.803,160.451,158.883,144.6966,139.9678
"105","Malaysia",16.058,15.1502,14.545,13.5472,13.2146
"106","Maldives",45.401,33.89,26.216,24.4436,23.8528
"107","Mali",206.954,202.388,199.344,186.9372,182.8016
"108","Malta",16.225,16.165,16.125,13.9302,13.1986
"109","Mauritania",97.432,98.9818,100.015,90.8764,87.8302
"110","Mauritius",39.114,38.5416,38.16,40.0122,40.6296
"111","Mexico",77.8,73.12,70,66.88,65.84
"112","Micronesia, Fed. Sts.",44.822,39.3794,35.751,29.9064,27.9582
"113","Moldova",58.072,45.6928,37.44,33.9096,32.7328
"114","Mongolia",41.542,46.426,49.682,46.7792,45.8116
"115","Montenegro",22.607,20.0984,18.426,17.2524,16.8612
"116","Morocco",32.232,25.089,20.327,19.4498,19.1574
"117","Mozambique",117.057,152.655,176.387,160.073,154.635
"118","Myanmar",23.956,20.9452,18.938,17.4236,16.9188
"119","Namibia",91.696,78.9082,70.383,63.546,61.267
"120","Nepal",127.164,124.1706,122.175,117.6126,116.0918
"121","Netherlands",4.576,5.041,5.351,4.949,4.815
"122","Netherlands Antilles",43.523,39.1094,36.167,32.2712,30.9726
"123","New Caledonia",32.76,29.9334,28.049,26.9204,26.5442
"124","New Zealand",31.154,28.7,27.064,24.3208,23.4064
"125","Nicaragua",132.6,124.656,119.36,115.364,114.032
"126","Niger",228.832,223.7866,220.423,205.975,201.159
"127","Nigeria",165.894,158.3112,153.256,136.6618,131.1304
"128","Norway",12.526,10.7806,9.617,8.8586,8.6058
"129","Oman",45.9,26.223,13.105,11.3242,10.7306
"130","Pakistan",68.839,40.7146,21.965,30.158,32.889
"131","Panama",93.2,90.68,89,85.16,83.88
"132","Papua New Guinea",89.772,78.0462,70.229,58.5644,54.6762
"133","Paraguay",91.9,86.14,82.3,76.3,74.3
"134","Peru",80,70.16,63.6,61.56,60.88
"135","Philippines",46.858,49.7002,51.595,48.685,47.715
"136","Poland",19.569,16.5498,14.537,13.7366,13.4698
"137","Portugal",17.051,16.6436,16.372,14.6326,14.0528
"138","Puerto Rico",75.946,65.7598,58.969,52.0012,49.6786
"139","Qatar",23.436,21.18,19.676,18.344,17.9
"140","Romania",40.814,37.826,35.834,33.7424,33.0452
"141","Russia",35.664,32.1468,29.802,28.635,28.246
"142","Rwanda",57.577,50.1478,45.195,42.0768,41.0374
"143","Samoa",45.443,40.2746,36.829,31.045,29.117
"144","Sao Tome and Principe",94.577,85.8596,80.048,71.6894,68.9032
"145","Saudi Arabia",40.018,35.347,32.233,29.506,28.597
"146","Senegal",111.463,106.8088,103.706,93.9488,90.6964
"147","Serbia",27.974,26.8826,26.155,25.1572,24.8246
"148","Sierra Leone",191.62,191.62,191.62,172.4704,166.0872
"149","Singapore",7.44,6.3504,5.624,4.9562,4.7336
"150","Slovak Republic",27.527,23.645,21.057,20.151,19.849
"151","Slovenia",11.525,8.3438,6.223,6.4672,6.5486
"152","Solomon Islands",62.98,55.921,51.215,45.2132,43.2126
"153","Somalia",75.33,72.8148,71.138,68.1938,67.2124
"154","South Africa",80.585,74.6672,70.722,64.9956,63.0868
"155","Spain",7.99,9.3118,10.193,9.6398,9.4554
"156","Sri Lanka",29.417,28.766,28.332,26.5278,25.9264
"157","Saint Lucia",67.024,64.3594,62.583,61.0152,60.4926
"158","Saint Vincent and the Grenadines",72.672,70.0692,68.334,65.7024,64.8252
"159","Sudan",85.541,75.6878,69.119,61.742,59.283
"160","Suriname",50.848,47.239,44.833,41.6116,40.5378
"161","Swaziland",45.629,41.3306,38.465,35.0864,33.9602
"162","Sweden",5.1,4.8258,4.643,4.5284,4.4902
"163","Switzerland",5.762,5.2592,4.924,4.5424,4.4152
"164","Syria",61.058,52.1954,46.287,39.7068,37.5134
"165","Tajikistan",35.864,33.2948,31.582,29.2288,28.4444
"166","Tanzania",131.199,131.6742,131.991,125.139,122.855
"167","Thailand",49.042,46.3504,44.556,42.7422,42.1376
"168","Timor-Leste",114.322,84.2872,64.264,57.9652,55.8656
"169","Togo",115.304,108.4004,103.798,95.041,92.122
"170","Tonga",16.625,17.2544,17.674,17.7712,17.8036
"171","Trinidad and Tobago",42.07,38.047,35.365,34.9042,34.7506
"172","Tunisia",8.434,7.8736,7.5,7.2846,7.2128
"173","Turkey",58.43,50.9618,45.983,40.8692,39.1646
"174","Turkmenistan",17.756,17.219,16.861,16.3108,16.1274
"175","Uganda",191.015,179.9282,172.537,160.0444,155.8802
"176","Ukraine",42.998,34.9508,29.586,28.731,28.446
"177","United Arab Emirates",35.002,28.0042,23.339,20.372,19.383
"178","United Kingdom",29.784,28.2264,27.188,25.1192,24.4296
"179","United States",52.203,47.1222,43.735,42.931,42.663
"180","Uruguay",67.3,65.56,64.4,62.42,61.76
"181","Uzbekistan",40.936,38.7166,37.237,35.1724,34.4842
"182","Vanuatu",61.965,56.2824,52.494,47.415,45.722
"183","Venezuela",94.1,92.9,92.1,90.78,90.34
"184","Vietnam",24.933,22.6572,21.14,18.9362,18.2016
"185","Virgin Islands (U.S.)",50.046,43.4334,39.025,33.9448,32.2514
"186","West Bank and Gaza",106.61,99.134,94.15,84.9028,81.8204
"187","Yemen, Rep.",103.984,89.7214,80.213,74.465,72.549
"188","Zambia",138.457,144.4402,148.429,134.341,129.645
"189","Zimbabwe",106.296,85.488,71.616,64.2402,61.7816
