"","jobcat","jobc","SCI"
"556","superv",3,92
"557","superv",3,84
"558","superv",3,100
"559","superv",3,92
"560","superv",3,57
"561","superv",3,77
"562","superv",3,46
"563","superv",3,77
"564","superv",3,77
"565","superv",3,100
"566","superv",3,81
"567","superv",3,57
"568","superv",3,88
"569","superv",3,81
"570","superv",3,54
"571","superv",3,84
"572","superv",3,65
"573","superv",3,92
"574","superv",3,100
"575","superv",3,88
"576","superv",3,88
"577","superv",3,88
"578","superv",3,96
"579","superv",3,96
"580","superv",3,81
"581","superv",3,46
"582","superv",3,61
"583","superv",3,92
"584","superv",3,69
"585","superv",3,61
"586","superv",3,69
"587","superv",3,77
"588","superv",3,88
"589","superv",3,81
"590","superv",3,73
