County,State,Population,HousingUnits,TotalArea,WaterArea,LandArea,DensityPop,DensityHousing
Geneva County,Alabama,25764.00,12115.00,578.90,2.62,576.28,44.70,21.00
Greene County,Alabama,9974.00,5117.00,659.93,14.07,645.87,15.40,7.90
Hale County,Alabama,17185.00,7756.00,656.47,12.74,643.74,26.70,12.00
Henry County,Alabama,16310.00,8037.00,568.33,6.53,561.80,29.00,14.30
Houston County,Alabama,88787.00,39571.00,581.65,1.29,580.36,153.00,68.20
Jackson County,Alabama,53926.00,24168.00,1126.77,48.02,1078.74,50.00,22.40
Jefferson County,Alabama,662047.00,288162.00,1123.80,11.20,1112.61,595.00,259.00
Lamar County,Alabama,15904.00,7517.00,605.47,0.62,604.85,26.30,12.40
Lauderdale County,Alabama,87966.00,40424.00,718.78,49.32,669.46,131.40,60.40
Lawrence County,Alabama,34803.00,15009.00,718.07,24.68,693.38,50.20,21.60
Lee County,Alabama,115092.00,50329.00,615.55,6.84,608.71,189.10,82.70
Limestone County,Alabama,65676.00,26897.00,607.08,39.03,568.05,115.60,47.30
Lowndes County,Alabama,13473.00,5801.00,725.03,7.10,717.94,18.80,8.10
Macon County,Alabama,24105.00,10627.00,613.24,2.72,610.52,39.50,17.40
Madison County,Alabama,276700.00,120288.00,812.85,7.93,804.92,343.80,149.40
Marengo County,Alabama,22539.00,10127.00,982.85,5.80,977.04,23.10,10.40
Marion County,Alabama,31214.00,14416.00,743.57,2.16,741.41,42.10,19.40
Marshall County,Alabama,82231.00,36331.00,623.16,56.10,567.06,145.00,64.10
Mobile County,Alabama,399843.00,165101.00,1644.02,410.93,1233.09,324.30,133.90
Monroe County,Alabama,24324.00,11343.00,1034.53,8.67,1025.85,23.70,11.10
Montgomery County,Alabama,223510.00,95437.00,799.76,9.99,789.76,283.00,120.80
Morgan County,Alabama,111064.00,47388.00,599.06,16.84,582.21,190.80,81.40
Perry County,Alabama,11861.00,5406.00,724.08,4.59,719.48,16.50,7.50
Pickens County,Alabama,20949.00,9520.00,890.05,8.63,881.42,23.80,10.80
Pike County,Alabama,29605.00,13981.00,672.10,1.06,671.03,44.10,20.80
Randolph County,Alabama,22380.00,10285.00,584.11,3.06,581.05,38.50,17.70
Russell County,Alabama,49756.00,22831.00,647.38,6.06,641.32,77.60,35.60
St. Clair County,Alabama,64742.00,27303.00,653.61,19.86,633.75,102.20,43.10
Shelby County,Alabama,143293.00,59302.00,809.53,14.83,794.69,180.30,74.60
Sumter County,Alabama,14798.00,6953.00,913.30,8.37,904.94,16.40,7.70
Talladega County,Alabama,80321.00,34469.00,760.25,20.72,739.53,108.60,46.60
Tallapoosa County,Alabama,41475.00,20510.00,766.23,48.30,717.93,57.80,28.60
Tuscaloosa County,Alabama,164875.00,71429.00,1351.23,26.85,1324.37,124.50,53.90
Walker County,Alabama,70713.00,32417.00,805.30,10.91,794.39,89.00,40.80
Washington County,Alabama,18097.00,8123.00,1088.54,7.89,1080.66,16.70,7.50
Wilcox County,Alabama,13183.00,6183.00,907.46,18.78,888.68,14.80,7.00
Winston County,Alabama,24843.00,12502.00,631.86,17.42,614.44,40.40,20.30
Aleutians East Borough,Alaska,2697.00,724.00,15011.60,8023.46,6988.14,0.40,0.10
Aleutians West Census Area,Alaska,5465.00,2234.00,14116.51,9719.74,4396.77,1.20,0.50
Anchorage Municipality,Alaska,260283.00,100368.00,1961.09,263.88,1697.21,153.40,59.10
Bethel Census Area,Alaska,16006.00,5188.00,45508.46,4875.15,40633.31,0.40,0.10
Bristol Bay Borough,Alaska,1258.00,979.00,887.68,382.77,504.92,2.50,1.90
Denali Borough,Alaska,1893.00,1351.00,12774.53,24.88,12749.65,0.10,0.10
Dillingham Census Area,Alaska,4922.00,2332.00,20928.41,2253.63,18674.78,0.30,0.10
Fairbanks North Star Borough,Alaska,82840.00,33291.00,7444.02,77.78,7366.24,11.20,4.50
Haines Borough,Alaska,2392.00,1419.00,2725.82,382.09,2343.73,1.00,0.60
Juneau City and Borough,Alaska,30711.00,12282.00,3255.01,538.34,2716.67,11.30,4.50
Kenai Peninsula Borough,Alaska,49691.00,24871.00,24754.60,8741.34,16013.26,3.10,1.60
Ketchikan Gateway Borough,Alaska,14070.00,6218.00,1753.98,520.75,1233.22,11.40,5.00
Kodiak Island Borough,Alaska,13913.00,5159.00,12023.67,5463.83,6559.85,2.10,0.80
Lake and Peninsula Borough,Alaska,1823.00,1557.00,30906.96,7125.00,23781.96,0.10,0.10
Matanuska-Susitna Borough,Alaska,59322.00,27329.00,25259.79,578.25,24681.54,2.40,1.10
Nome Census Area,Alaska,9196.00,3649.00,28283.33,5282.42,23000.91,0.40,0.20
North Slope Borough,Alaska,7385.00,2538.00,94762.64,5945.53,88817.12,0.10,0.00
Northwest Arctic Borough,Alaska,7208.00,2540.00,40762.00,4863.66,35898.34,0.20,0.10
Prince of Wales-Outer Ketchikan Census Area,Alaska,6146.00,3055.00,12706.30,5295.67,7410.62,0.80,0.40
Sitka City and Borough,Alaska,8835.00,3650.00,4811.53,1937.55,2873.98,3.10,1.30
Skagway-Hoonah-Angoon Census Area,Alaska,3436.00,2108.00,11376.73,3480.25,7896.48,0.40,0.30
Southeast Fairbanks Census Area,Alaska,6174.00,3225.00,25061.19,246.33,24814.86,0.20,0.10
Valdez-Cordova Census Area,Alaska,10195.00,5148.00,40199.15,5880.05,34319.10,0.30,0.20
Wade Hampton Census Area,Alaska,7028.00,2063.00,19669.24,2475.74,17193.50,0.40,0.10
Wrangell-Petersburg Census Area,Alaska,6684.00,3284.00,9021.21,3186.27,5834.94,1.10,0.60
Yakutat City and Borough,Alaska,808.00,499.00,9459.28,1808.82,7650.46,0.10,0.10
Yukon-Koyukuk Census Area,Alaska,6551.00,3917.00,147842.51,1942.83,145899.69,0.00,0.00
Apache County,Arizona,69423.00,31621.00,11218.42,13.54,11204.88,6.20,2.80
Cochise County,Arizona,117755.00,51126.00,6218.77,49.32,6169.45,19.10,8.30
Coconino County,Arizona,116320.00,53443.00,18661.21,43.79,18617.42,6.20,2.90
Gila County,Arizona,51335.00,28189.00,4795.74,28.03,4767.70,10.80,5.90
Graham County,Arizona,33489.00,11430.00,4641.14,11.83,4629.32,7.20,2.50
Greenlee County,Arizona,8547.00,3744.00,1848.42,1.42,1847.00,4.60,2.00
La Paz County,Arizona,19715.00,15133.00,4513.36,13.40,4499.95,4.40,3.40
Maricopa County,Arizona,3072149.00,1250231.00,9224.27,21.13,9203.14,333.80,135.80
Mohave County,Arizona,155032.00,80062.00,13469.71,158.07,13311.64,11.60,6.00
Navajo County,Arizona,97470.00,47413.00,9959.49,6.31,9953.18,9.80,4.80
Pima County,Arizona,843746.00,366737.00,9188.83,2.57,9186.27,91.80,39.90
Pinal County,Arizona,179727.00,81154.00,5374.09,4.50,5369.59,33.50,15.10
Santa Cruz County,Arizona,38381.00,13036.00,1238.11,0.47,1237.63,31.00,10.50
Yavapai County,Arizona,167517.00,81730.00,8127.78,4.48,8123.30,20.60,10.10
Yuma County,Arizona,160026.00,74140.00,5518.96,4.87,5514.09,29.00,13.40
Arkansas County,Arkansas,20749.00,9672.00,1033.79,45.30,988.49,21.00,9.80
Ashley County,Arkansas,24209.00,10615.00,939.08,17.93,921.15,26.30,11.50
Baxter County,Arkansas,38386.00,19891.00,586.74,32.38,554.36,69.20,35.90
Benton County,Arkansas,153406.00,64281.00,880.24,34.25,845.99,181.30,76.00
Boone County,Arkansas,33948.00,15426.00,601.82,10.64,591.18,57.40,26.10
Bradley County,Arkansas,12600.00,5930.00,654.38,3.75,650.63,19.40,9.10
Calhoun County,Arkansas,5744.00,3012.00,632.54,4.27,628.27,9.10,4.80
Carroll County,Arkansas,25357.00,11828.00,638.81,8.54,630.27,40.20,18.80
Chicot County,Arkansas,14117.00,5974.00,690.88,46.86,644.03,21.90,9.30
Clark County,Arkansas,23546.00,10166.00,882.60,17.17,865.43,27.20,11.70
Clay County,Arkansas,17609.00,8498.00,641.42,2.12,639.30,27.50,13.30
Cleburne County,Arkansas,24046.00,13732.00,591.91,38.86,553.05,43.50,24.80
Cleveland County,Arkansas,8571.00,3834.00,598.80,1.06,597.74,14.30,6.40
Columbia County,Arkansas,25603.00,11566.00,766.86,0.75,766.11,33.40,15.10
Conway County,Arkansas,20336.00,9028.00,566.66,10.51,556.15,36.60,16.20
Craighead County,Arkansas,82148.00,35133.00,712.98,2.14,710.84,115.60,49.40
Crawford County,Arkansas,53247.00,21315.00,604.20,8.81,595.39,89.40,35.80
Crittenden County,Arkansas,50866.00,20507.00,636.69,26.52,610.17,83.40,33.60
Cross County,Arkansas,19526.00,8030.00,622.33,6.49,615.85,31.70,13.00
Dallas County,Arkansas,9210.00,4401.00,668.16,0.74,667.42,13.80,6.60
Desha County,Arkansas,15341.00,6663.00,819.52,54.53,764.99,20.10,8.70
Drew County,Arkansas,18723.00,8287.00,835.65,7.47,828.18,22.60,10.00
Faulkner County,Arkansas,86014.00,34546.00,664.01,16.63,647.38,132.90,53.40
Franklin County,Arkansas,17771.00,7673.00,619.69,10.13,609.55,29.20,12.60
Fulton County,Arkansas,11642.00,5973.00,620.31,2.16,618.16,18.80,9.70
Garland County,Arkansas,88068.00,44953.00,734.57,57.35,677.22,130.00,66.40
Grant County,Arkansas,16464.00,6960.00,633.01,1.23,631.78,26.10,11.00
Greene County,Arkansas,37331.00,16161.00,579.65,2.14,577.51,64.60,28.00
Hempstead County,Arkansas,23587.00,10166.00,741.36,12.59,728.77,32.40,13.90
Hot Spring County,Arkansas,30353.00,13384.00,622.16,7.22,614.93,49.40,21.80
Howard County,Arkansas,14300.00,6297.00,595.20,7.78,587.42,24.30,10.70
Independence County,Arkansas,34233.00,14841.00,771.57,7.79,763.78,44.80,19.40
Izard County,Arkansas,13249.00,6591.00,584.02,3.34,580.68,22.80,11.40
Jackson County,Arkansas,18418.00,7956.00,641.45,7.92,633.52,29.10,12.60
Jefferson County,Arkansas,84278.00,34350.00,913.70,28.88,884.82,95.20,38.80
Johnson County,Arkansas,22781.00,9926.00,682.74,20.57,662.17,34.40,15.00
Lafayette County,Arkansas,8559.00,4560.00,545.07,18.57,526.50,16.30,8.70
Lawrence County,Arkansas,17774.00,8085.00,592.34,5.78,586.57,30.30,13.80
Lee County,Arkansas,12580.00,4768.00,619.47,17.80,601.66,20.90,7.90
Lincoln County,Arkansas,14492.00,4955.00,572.17,10.97,561.20,25.80,8.80
Little River County,Arkansas,13628.00,6435.00,564.87,33.14,531.73,25.60,12.10
Logan County,Arkansas,22486.00,9942.00,731.50,21.63,709.87,31.70,14.00
Lonoke County,Arkansas,52828.00,20749.00,802.43,36.47,765.96,69.00,27.10
Madison County,Arkansas,14243.00,6537.00,837.06,0.25,836.81,17.00,7.80
Marion County,Arkansas,16140.00,8235.00,640.35,42.65,597.70,27.00,13.80
Miller County,Arkansas,40443.00,17727.00,637.48,13.50,623.98,64.80,28.40
Mississippi County,Arkansas,51979.00,22310.00,919.73,21.48,898.25,57.90,24.80
Monroe County,Arkansas,10254.00,5067.00,621.41,14.76,606.65,16.90,8.40
Montgomery County,Arkansas,9245.00,5048.00,800.29,19.36,780.93,11.80,6.50
Nevada County,Arkansas,9955.00,4751.00,620.78,0.83,619.95,16.10,7.70
Newton County,Arkansas,8608.00,4316.00,823.18,0.21,822.97,10.50,5.20
Ouachita County,Arkansas,28790.00,13450.00,739.63,7.18,732.45,39.30,18.40
Perry County,Arkansas,10209.00,4702.00,560.47,9.53,550.94,18.50,8.50
Phillips County,Arkansas,26445.00,10859.00,727.29,34.62,692.67,38.20,15.70
Pike County,Arkansas,11303.00,5536.00,613.88,10.87,603.01,18.70,9.20
Poinsett County,Arkansas,25614.00,11051.00,763.39,5.65,757.74,33.80,14.60
Polk County,Arkansas,20229.00,9236.00,862.42,3.04,859.38,23.50,10.70
Pope County,Arkansas,54469.00,22851.00,830.79,18.89,811.90,67.10,28.10
Prairie County,Arkansas,9539.00,4790.00,675.76,29.83,645.93,14.80,7.40
Pulaski County,Arkansas,361474.00,161135.00,807.84,37.02,770.82,468.90,209.00
Randolph County,Arkansas,18195.00,8268.00,656.04,4.21,651.82,27.90,12.70
St. Francis County,Arkansas,29329.00,11242.00,642.40,8.56,633.84,46.30,17.70
Saline County,Arkansas,83529.00,33825.00,730.46,7.00,723.46,115.50,46.80
Scott County,Arkansas,10996.00,4924.00,898.09,4.21,893.88,12.30,5.50
Searcy County,Arkansas,8261.00,4292.00,668.51,1.36,667.15,12.40,6.40
Sebastian County,Arkansas,115071.00,49311.00,546.04,9.79,536.24,214.60,92.00
Sevier County,Arkansas,15757.00,6434.00,581.35,17.41,563.94,27.90,11.40
Sharp County,Arkansas,17119.00,9342.00,606.35,1.99,604.35,28.30,15.50
Stone County,Arkansas,11499.00,5715.00,609.43,2.84,606.59,19.00,9.40
Union County,Arkansas,45629.00,20676.00,1055.27,16.37,1038.90,43.90,19.90
Van Buren County,Arkansas,16192.00,9164.00,724.32,12.81,711.51,22.80,12.90
Washington County,Arkansas,157715.00,64330.00,956.01,6.29,949.72,166.10,67.70
White County,Arkansas,67165.00,27613.00,1042.36,8.33,1034.03,65.00,26.70
Woodruff County,Arkansas,8741.00,4089.00,594.05,7.49,586.56,14.90,7.00
Yell County,Arkansas,21139.00,9157.00,948.84,20.95,927.89,22.80,9.90
Alameda County,California,1443741.00,540183.00,821.15,83.57,737.57,1957.40,732.40
Alpine County,California,1208.00,1514.00,743.19,4.57,738.62,1.60,2.00
Amador County,California,35100.00,15035.00,604.69,11.73,592.97,59.20,25.40
Butte County,California,203171.00,85523.00,1677.11,37.62,1639.49,123.90,52.20
Calaveras County,California,40554.00,22946.00,1036.84,16.81,1020.04,39.80,22.50
Colusa County,California,18804.00,6774.00,1156.22,5.54,1150.68,16.30,5.90
Contra Costa County,California,948816.00,354577.00,802.15,82.20,719.95,1317.90,492.50
Del Norte County,California,27507.00,10434.00,1229.75,221.94,1007.81,27.30,10.40
El Dorado County,California,156299.00,71278.00,1788.10,77.25,1710.85,91.40,41.70
Fresno County,California,799407.00,270767.00,6017.42,54.70,5962.73,134.10,45.40
Glenn County,California,26453.00,9982.00,1327.16,12.36,1314.79,20.10,7.60
Humboldt County,California,126518.00,55912.00,4052.22,479.74,3572.49,35.40,15.70
Imperial County,California,142361.00,43891.00,4481.73,307.00,4174.73,34.10,10.50
Inyo County,California,17945.00,9042.00,10226.98,23.88,10203.10,1.80,0.90
Kern County,California,661645.00,231564.00,8161.42,20.46,8140.96,81.30,28.40
Kings County,California,129461.00,36563.00,1391.49,0.50,1390.99,93.10,26.30
Lake County,California,58309.00,32528.00,1329.48,71.52,1257.96,46.40,25.90
Lassen County,California,33828.00,12000.00,4720.37,163.10,4557.27,7.40,2.60
Los Angeles County,California,9519338.00,3270909.00,4752.32,691.45,4060.87,2344.20,805.50
Madera County,California,123109.00,40387.00,2153.32,17.46,2135.86,57.60,18.90
Marin County,California,247289.00,104990.00,828.20,308.39,519.80,475.70,202.00
Mariposa County,California,17130.00,8826.00,1462.79,11.67,1451.12,11.80,6.10
Mendocino County,California,86265.00,36937.00,3878.14,369.17,3508.97,24.60,10.50
Merced County,California,210554.00,68373.00,1971.87,43.18,1928.69,109.20,35.50
Modoc County,California,9449.00,4807.00,4203.37,259.28,3944.10,2.40,1.20
Mono County,California,12853.00,11757.00,3131.80,87.40,3044.40,4.20,3.90
Monterey County,California,401762.00,131708.00,3771.07,449.12,3321.95,120.90,39.60
Napa County,California,124279.00,48554.00,788.27,34.53,753.73,164.90,64.40
Nevada County,California,92033.00,44282.00,974.49,16.88,957.61,96.10,46.20
Orange County,California,2846289.00,969484.00,947.98,158.57,789.40,3605.60,1228.10
Placer County,California,248399.00,107302.00,1502.78,98.41,1404.37,176.90,76.40
Plumas County,California,20824.00,13386.00,2613.48,59.78,2553.69,8.20,5.20
Riverside County,California,1545387.00,584674.00,7303.13,95.76,7207.37,214.40,81.10
Sacramento County,California,1223499.00,474814.00,995.48,29.83,965.65,1267.00,491.70
San Benito County,California,53234.00,16499.00,1390.73,1.68,1389.06,38.30,11.90
San Bernardino County,California,1709434.00,601369.00,20105.32,52.82,20052.50,85.20,30.00
San Diego County,California,2813833.00,1040149.00,4525.52,325.62,4199.89,670.00,247.70
San Francisco County,California,776733.00,346527.00,231.92,185.22,46.69,16634.40,7421.20
San Joaquin County,California,563598.00,189160.00,1426.25,26.97,1399.28,402.80,135.20
San Luis Obispo County,California,246681.00,102275.00,3615.54,311.22,3304.32,74.70,31.00
San Mateo County,California,707161.00,260576.00,741.01,291.95,449.07,1574.70,580.30
Santa Barbara County,California,399347.00,142901.00,3789.08,1052.07,2737.01,145.90,52.20
Santa Clara County,California,1682585.00,579329.00,1304.01,13.32,1290.69,1303.60,448.90
Santa Cruz County,California,255602.00,98873.00,607.16,161.92,445.24,574.10,222.10
Shasta County,California,163256.00,68810.00,3847.44,62.24,3785.19,43.10,18.20
Sierra County,California,3555.00,2202.00,961.97,8.59,953.38,3.70,2.30
Siskiyou County,California,44301.00,21947.00,6347.46,60.68,6286.78,7.00,3.50
Solano County,California,394542.00,134513.00,906.67,77.48,829.19,475.80,162.20
Sonoma County,California,458614.00,183153.00,1768.23,192.35,1575.88,291.00,116.20
Stanislaus County,California,446997.00,150807.00,1514.67,20.88,1493.79,299.20,101.00
Sutter County,California,78930.00,28319.00,608.58,6.04,602.54,131.00,47.00
Tehama County,California,56039.00,23547.00,2962.27,11.28,2950.99,19.00,8.00
Trinity County,California,13022.00,7980.00,3207.54,28.93,3178.61,4.10,2.50
Tulare County,California,368021.00,119639.00,4839.09,15.12,4823.97,76.30,24.80
Tuolumne County,California,54501.00,28336.00,2274.34,38.93,2235.41,24.40,12.70
Ventura County,California,753197.00,251712.00,2208.20,362.90,1845.30,408.20,136.40
Yolo County,California,168660.00,61587.00,1022.89,9.62,1013.27,166.50,60.80
Yuba County,California,60219.00,22636.00,643.73,13.04,630.69,95.50,35.90
Adams County,Colorado,363857.00,132594.00,1197.71,5.78,1191.93,305.30,111.20
Alamosa County,Colorado,14966.00,6088.00,723.53,0.78,722.74,20.70,8.40
Arapahoe County,Colorado,487967.00,196835.00,805.43,2.29,803.14,607.60,245.10
Archuleta County,Colorado,9898.00,6212.00,1355.48,5.26,1350.22,7.30,4.60
Baca County,Colorado,4517.00,2364.00,2557.09,1.37,2555.72,1.80,0.90
Bent County,Colorado,5998.00,2366.00,1541.12,27.22,1513.90,4.00,1.60
Boulder County,Colorado,291288.00,119900.00,751.37,8.91,742.46,392.30,161.50
Chaffee County,Colorado,16242.00,8392.00,1015.01,1.55,1013.45,16.00,8.30
Cheyenne County,Colorado,2231.00,1105.00,1781.37,0.02,1781.35,1.30,0.60
Clear Creek County,Colorado,9322.00,5128.00,396.46,1.01,395.45,23.60,13.00
Conejos County,Colorado,8400.00,3886.00,1290.87,3.65,1287.22,6.50,3.00
Costilla County,Colorado,3663.00,2202.00,1230.44,3.34,1227.10,3.00,1.80
Crowley County,Colorado,5518.00,1542.00,800.33,11.34,788.99,7.00,2.00
Custer County,Colorado,3503.00,2989.00,739.90,1.02,738.89,4.70,4.00
Delta County,Colorado,27834.00,12374.00,1148.52,6.42,1142.11,24.40,10.80
Denver County,Colorado,554636.00,251435.00,154.94,1.59,153.35,3616.80,1639.60
Dolores County,Colorado,1844.00,1193.00,1068.09,1.13,1066.97,1.70,1.10
Douglas County,Colorado,175766.00,63333.00,842.75,2.64,840.11,209.20,75.40
Eagle County,Colorado,41659.00,22111.00,1691.80,3.93,1687.88,24.70,13.10
Elbert County,Colorado,19872.00,7113.00,1850.89,0.11,1850.78,10.70,3.80
El Paso County,Colorado,516929.00,202428.00,2129.56,3.11,2126.45,243.10,95.20
Fremont County,Colorado,46145.00,17145.00,1533.95,1.02,1532.93,30.10,11.20
Garfield County,Colorado,43791.00,17336.00,2955.76,8.70,2947.06,14.90,5.90
Gilpin County,Colorado,4757.00,2929.00,150.25,0.39,149.87,31.70,19.50
Grand County,Colorado,12442.00,10894.00,1869.60,22.93,1846.67,6.70,5.90
Gunnison County,Colorado,13956.00,9135.00,3259.75,20.93,3238.81,4.30,2.80
Hinsdale County,Colorado,790.00,1304.00,1123.14,5.46,1117.68,0.70,1.20
Huerfano County,Colorado,7862.00,4599.00,1593.24,2.38,1590.87,4.90,2.90
Jackson County,Colorado,1577.00,1145.00,1620.95,7.74,1613.21,1.00,0.70
Jefferson County,Colorado,527056.00,212488.00,778.06,5.97,772.09,682.60,275.20
Kiowa County,Colorado,1622.00,817.00,1785.76,14.76,1770.99,0.90,0.50
Kit Carson County,Colorado,8011.00,3430.00,2161.56,0.69,2160.87,3.70,1.60
Lake County,Colorado,7812.00,3913.00,383.90,7.01,376.89,20.70,10.40
La Plata County,Colorado,43941.00,20765.00,1699.93,7.78,1692.15,26.00,12.30
Larimer County,Colorado,251494.00,105392.00,2633.86,32.56,2601.30,96.70,40.50
Las Animas County,Colorado,15207.00,7629.00,4775.42,2.79,4772.63,3.20,1.60
Lincoln County,Colorado,6087.00,2406.00,2586.39,0.30,2586.09,2.40,0.90
Logan County,Colorado,20504.00,8424.00,1844.86,6.33,1838.52,11.20,4.60
Mesa County,Colorado,116255.00,48427.00,3341.11,13.36,3327.75,34.90,14.60
Mineral County,Colorado,831.00,1119.00,877.70,1.99,875.72,0.90,1.30
Moffat County,Colorado,13184.00,5635.00,4750.94,8.69,4742.25,2.80,1.20
Montezuma County,Colorado,23830.00,10497.00,2039.97,3.34,2036.63,11.70,5.20
Montrose County,Colorado,33432.00,14202.00,2242.57,1.96,2240.61,14.90,6.30
Morgan County,Colorado,27171.00,10410.00,1293.87,8.51,1285.36,21.10,8.10
Otero County,Colorado,20311.00,8813.00,1269.74,6.89,1262.86,16.10,7.00
Ouray County,Colorado,3742.00,2146.00,542.21,1.74,540.47,6.90,4.00
Park County,Colorado,14523.00,10697.00,2210.69,10.00,2200.69,6.60,4.90
Phillips County,Colorado,4480.00,2014.00,687.74,0.12,687.62,6.50,2.90
Pitkin County,Colorado,14872.00,10096.00,973.23,2.81,970.42,15.30,10.40
Prowers County,Colorado,14483.00,5977.00,1644.35,3.97,1640.38,8.80,3.60
Pueblo County,Colorado,141472.00,58926.00,2397.73,9.04,2388.69,59.20,24.70
Rio Blanco County,Colorado,5986.00,2855.00,3222.91,1.94,3220.97,1.90,0.90
Rio Grande County,Colorado,12413.00,6003.00,912.14,0.53,911.60,13.60,6.60
Routt County,Colorado,19690.00,11217.00,2368.02,6.43,2361.59,8.30,4.70
Saguache County,Colorado,5917.00,3087.00,3170.25,1.82,3168.44,1.90,1.00
San Juan County,Colorado,558.00,632.00,388.29,0.86,387.42,1.40,1.60
San Miguel County,Colorado,6594.00,5197.00,1288.49,1.98,1286.50,5.10,4.00
Sedgwick County,Colorado,2747.00,1387.00,549.60,1.36,548.24,5.00,2.50
Summit County,Colorado,23548.00,24201.00,619.25,11.09,608.16,38.70,39.80
Teller County,Colorado,20555.00,10362.00,558.96,1.89,557.06,36.90,18.60
Washington County,Colorado,4926.00,2307.00,2524.12,3.13,2520.98,2.00,0.90
Weld County,Colorado,180936.00,66194.00,4021.56,29.11,3992.45,45.30,16.60
Yuma County,Colorado,9841.00,4295.00,2369.10,3.30,2365.79,4.20,1.80
Fairfield County,Connecticut,882567.00,339466.00,836.96,211.15,625.80,1410.30,542.40
Hartford County,Connecticut,857183.00,353022.00,750.57,15.13,735.44,1165.50,480.00
Litchfield County,Connecticut,182193.00,79267.00,944.57,24.65,919.92,198.10,86.20
Middlesex County,Connecticut,155071.00,67285.00,439.07,69.81,369.26,419.90,182.20
New Haven County,Connecticut,824008.00,340732.00,862.02,256.38,605.64,1360.60,562.60
New London County,Connecticut,259088.00,110674.00,771.66,105.75,665.91,389.10,166.20
Tolland County,Connecticut,136364.00,51570.00,417.01,6.94,410.07,332.50,125.80
Windham County,Connecticut,109091.00,43959.00,521.47,8.71,512.75,212.80,85.70
Kent County,Deleware,126697.00,50481.00,800.12,210.40,589.72,214.80,85.60
New Castle County,Deleware,500265.00,199521.00,493.51,67.24,426.27,1173.60,468.10
Sussex County,Deleware,156638.00,93070.00,1195.65,258.07,937.58,167.10,99.30
District of Columbia,District of Columbia,572059.00,274845.00,68.34,6.94,61.40,9316.40,4476.10
Alachua County,Florida,217955.00,95113.00,969.12,94.88,874.25,249.30,108.80
Baker County,Florida,22259.00,7592.00,588.89,3.67,585.21,38.00,13.00
Bay County,Florida,148217.00,78435.00,1033.27,269.60,763.68,194.10,102.70
Bradford County,Florida,26088.00,9605.00,300.04,6.91,293.13,89.00,32.80
Brevard County,Florida,476230.00,222072.00,1556.95,538.76,1018.19,467.70,218.10
Broward County,Florida,1623018.00,741043.00,1319.63,114.24,1205.40,1346.50,614.80
Calhoun County,Florida,13017.00,5250.00,574.34,7.03,567.31,22.90,9.30
Charlotte County,Florida,141627.00,79758.00,859.12,165.51,693.60,204.20,115.00
Citrus County,Florida,118085.00,62204.00,773.15,189.34,583.81,202.30,106.50
Clay County,Florida,140814.00,53748.00,643.69,42.59,601.11,234.30,89.40
Collier County,Florida,251377.00,144536.00,2304.93,279.59,2025.34,124.10,71.40
Columbia County,Florida,56513.00,23579.00,801.04,3.99,797.05,70.90,29.60
