gender,class,gpa,height,pulse,childrank,numchildren,haircut,randomnum,speedtickets,cds,smoker,hourssleep,selfhandedness,momhandedness,dadhandedness,region,oncampus,cupscoffee,birthday,overtwenty
M,So,3.2,74,,1,4,10,15,1,250,Non,8,R,R,R,Urban,Y,2,We,Y
F,Fr,3.56,62,35,2,3,15,8,0,30,Non,6.5,L,R,R,Rural,Y,2,Fr,N
F,Fr,3.25,69,42,3,3,0,15,1,20,Non,8.5,R,R,R,Rural,Y,0,Mo,N
F,Fr,3.84,62,72,1,1,15.00,8,0,25,Non,6.5,L,R,R,Suburban,Y,0,Sa,N
F,So,3.655,64,66,3,5,10.00,9,0,8,Non,6,R,R,R,Suburban,Y,1,We,Y
F,Fr,2.9,65,,1,2,31.50,3,1,35,Non,7.5,R,R,R,Urban,Y,0,Mo,N
F,Fr,,66,,3,3,8.00,99,0,65,,5,R,R,R,Suburban,Y,5 a week,Sa,N
M,So,2.9,72,,6,5,0,11,2,15,Non,7.5,R,L,R,Rural,N,0,Mo,N
M,,,75,,7,7,0,16,3,25,Smoke,5.5,R,R,R,Urban,,1,Tu,
F,other,3.724,60,68,1,2,0,7,0,112,Non,7.25,R,R,R,Suburban,N,0,Su,Y
M,Sr,3.738,75,68,1,3,0,57,1,30,Non,7.1,R,L,R,Rural,Y,0,We,Y
F,So,3.46,,70,2,3,10.00,3,0,30,Non,7,R,R,R,Suburban,Y,0,Mo,N
F,So,3.45,,60,2,6,20.00,6,0,25,Non,8,R,R,R,Suburban,Y,0,Th,N
F,So,3.9,61,72,1,3,8,17,0,41,Non,8,R,R,R,Suburban,Y,0,Th,Y
F,Fr,2.5,63,88,1,1,10,2,0,90,Non,7,R,R,R,Suburban,Y,0,Mo,N
F,So,3.5,62,84,2,2,14,10,0,50,Non,7.5,R,R,R,Suburban,Y,0,We,Y
F,Fr,3.0,67,83,2,3,15,7,0,65,Non,7.25,R,R,R,Suburban,Y,0,Sa,N
F,So,3.3,67,60,2,3,20.00,5,0,20,Non,6.5,R,R,R,Suburban,Y,0,Fr,Y
F,So,3.8,66,70,1,1,30,7,0,80,Non,7,R,R,R,Suburban,Y,0,Su,N
M,Ju,2.6,70,72,3,3,13,10,0,100,Non,6.5,R,L,R,Urban,N,0,Su,Y
M,Ju,2.9,71,72,2,2,13,2,4,50,Non,6.5,R,R,L,Urban,N,0,Tu,Y
F,Fr,3.6,65,60,1,1,65.00,56,0,30,Non,,R,R,R,Suburban,Y,0,We,N
M,Fr,3.54,72,50,3,3,12,7,1,80,Non,7.5,R,R,R,Suburban,Y,0,We,N
M,Fr,3.138,68,75,2,2,14,18,1,10,,5.25,R,R,R,Rural,Y,0,Th,N
F,So,3.189,64,58,2,3,0,5,0,37,Non,8.5,R,L,R,Suburban,Y,0,We,Y
F,So,3.200,64,65,2,2,27,13,2,50,Non,8,R,R,R,Suburban,Y,1,Sa,N
M,Fr,2.7,69,80,3,3,0,19,0,10,Non,6,L,R,R,Suburban,Y,2,We,N
M,Fr,4.0,71,84,1,3,0,7,1,3,Non,7.5,R,R,R,Suburban,Y,0,Sa,N
F,So,3.2,63,84,2,2,12,3,0,40,Non,8.75,L,R,R,Suburban,Y,0,Tu,N
F,Ju,3.7,54,96,1,3,0,18,1,60,Non,6,R,R,R,Suburban,Y,0,Su,Y
F,So,3.7,73,76,4,4,9,9,0,250,Non,6,R,R,R,Suburban,Y,2,Su,N
M,So,3.15,72.75,64,5,6,0,12,0,94,Non,7.25,R,R,R,Suburban,Y,0,We,N
F,Fr,,68,84,2,3,25,9,0,40,Non,8.5,R,R,R,Rural,N,0,We,N
F,Fr,3.1,69,64,2,2,15,9,0,30,Non,4,R,R,R,Rural,Y,0,Tu,Y
F,Fr,3.94,66,80,2,3,85,8,0,45,Non,7.5,R,R,R,Rural,Y,0,Fr,N
M,Fr,3.24,71,80,3,3,0,11,1,30,Non,8,L,R,R,Suburban,Y,0,Su,N
F,Sr,3.58,63,64,4,4,13,18,0,,Non,7,R,R,R,Rural,N,0,Mo,Y
F,other,3.4,67,80,1,2,10,6,1,25,Non,12,R,R,R,Urban,N,0,We,Y
M,Sr,3.441,72,66,1,4,0,20,0,75,Non,7,R,R,R,Suburban,N,0,Su,Y
M,Ju,3.75,68,76,3,4,8,12,1,120,Non,6.5,R,R,R,Suburban,N,0,We,Y
F,So,3.65,62,84,2,2,12,7,0,135,Non,7,R,R,R,Urban,N,0,Tu,Y
F,Sr,3.4,61,70,2,1,10,20,0,145,Non,5.5,R,R,R,Urban,N,1,Tu,Y
F,So,3.37,66,84,3,3,12.00,12,0,39,Non,8.5,R,R,R,Rural,Y,0,Tu,Y
F,So,3.692,72,80,3,3,0.00,7,0,29,Non,7.5,R,R,R,Urban,Y,0,Su,N
F,Ju,3.34,70,,2,10,0,532,0,3,Non,6,R,R,R,Suburban,N,2,Fr,Y
M,Fr,3.632,69,64,3,3,15,7,0,60,Non,7,R,L,R,Suburban,Y,0,Tu,Y
F,So,3.94,64,75,1,3,11,17,0,40,Non,7,R,R,L,Rural,Y,0,We,Y
M,Fr,2,71,65,1,3,15,14,0,110,Non,7.5,R,R,R,Suburban,Y,0,Th,Y
F,So,3.1,71,64,3,3,35,14,0,60,Non,8.5,R,R,R,Rural,Y,0,We,Y
M,Fr,2.7,74,70,4,2,0,8,1,50,Non,10,R,R,R,Suburban,Y,0,Sa,N
M,Fr,3.8,71,82,4,2,18,16,0,1,Non,8,R,R,R,Suburban,Y,0,Fr,N
M,Fr,3.1,72,60,5,5,15,11,3,103,Non,9,L,R,L,Suburban,Y,4,Fr,N
M,Fr,3.007,72,65,4,6,0,8,2,200,Non,6.5,R,R,R,Suburban,Y,4,Fr,N
M,Fr,3.00,73,61,2,3,8,12,0,30,Non,8,L,R,R,Rural,Y,0,Sa,N
M,So,3.55,73,68,1,1,0,20,0,0,Non,9,R,R,R,Rural,Y,0,Fr,Y
F,Sr,2.66,74.5,,2,4,30,47,0,50,Non,6,R,R,L,Suburban,Y,3,Su,Y
F,Sr,3.875 ,60,72,1,1,9.00,8,0,40,Non,7,R,R,R,Suburban,N,0,Th,Y
M,So,2.0,74,78,2,4,0,7,1,20,Non,6,R,R,R,Suburban,Y,0,Th,Y
M,So,2.9,70,83,3,4,12,8,2,6,Smoke,5,R,R,R,Suburban,Y,1,Tu,Y
M,Fr,2.7,73,,3,1,18,14,0,75,Non,7,R,R,R,Suburban,Y,0,Tu,Y
M,Fr,3.0,71,,4,3,0,9,2,64,Non,6,R,R,R,Suburban,Y,0,Th,N
M,Sr,2.7,68,60,3,3,12,18,2,15,Non,6,L,R,R,Suburban,N,0,Th,Y
M,Sr,2.9,68,65,4,2,0,11,0,20,Non,7.5,R,R,L,Suburban,N,0,Sa,Y
M,Sr,3.75,71,68,2,4,0,17,0,150,Non,7.5,R,R,R,Suburban,N,0,We,Y
M,Sr,3.85,72,79,2,2,,2,0,70,Non,7,R,R,R,Urban,N,0,Mo,Y
M,Ju,3.2,71,60,2,4,0.00,19,0,67,Non,8,R,R,R,Suburban,N,0,Sa,Y
M,Ju,3.43,72,55,2,3,20,17,0,25,Non,6.5,R,R,R,Suburban,N,0,Sa,Y
M,Sr,3.3,73,56,2,3,0,7,0,5,Non,7.5,R,R,R,Rural,N,0,Sa,Y
M,Sr,3.78,71,60,3,4,0,14,0,3,Non,6.5,R,R,L,Suburban,N,0,We,Y
M,Fr,3.7,73,,2,3,12,3,0,37,Non,7,R,R,,Suburban,Y,7,Tu,N
M,Fr,3.7,75,,3,4,12,18,0,22,Non,8,R,R,R,Rural,Y,1,We,N
F,Sr,3.6,65,60,3,4,0,18,0,13,Non,7,L,R,R,Suburban,N,1,Th,Y
M,Fr,3.4,72,72,3,3,10,16,0,50,Non,7,R,R,R,Suburban,Y,1,Tu,Y
F,Ju,3.7,64,78,2,2,22,4,0,20,Non,7,R,R,R,Urban,Y,2,We,Y
F,Ju,3.5,67,74,2,2,17,10,0,40,Non,8.5,R,R,R,Rural,Y,0,Tu,Y
M,Fr,3.2,72,68,1,2,10.00,7,0,21,Non,7.5,R,R,R,Suburban,Y,0,Sa,N
M,Fr,3.4,76,77,1,4,0,14,0,50,Non,8.5,R,R,R,Suburban,Y,0,Tu,Y
M,Sr,3.3,66,80,1,4,9,17,1,100,Smoke,7.4,R,R,R,Suburban,N,1,Sa,Y
M,Sr,2.9,77,85,1,2,11,13,2,130,Non,6.75,R,R,R,Suburban,N,0,Mo,Y
M,Fr,3.6,63,59,2,4,10,5,0,55,Non,6,L,R,L,Suburban,Y,1,We,Y
F,So,3.59,69,64,1,4,30.00,17,2,15,Non,7.0,R,R,L,Suburban,Y,0,Mo,N
F,Ju,3.47,67,70,4,4,0.00,17,1,40,Smoke,8.5,R,R,R,Suburban,N,0,Th,Y
M,Sr,3.556,66,50,5,6,13,3,1,112,Non,6.5,R,R,R,Suburban,N,0,Th,Y
F,So,3.902,62,115,2,2,12,19,1,130,Non,7,R,R,R,Suburban,Y,0,Fr,N
F,So,3.994,66,70,5,5,19,12,0,30,Non,8,R,R,R,Suburban,Y,0,Su,N
M,Fr,3.488,72,78,1,3,12,2,1,30,Non,8,R,R,R,Suburban,Y,0,Sa,N
M,Fr,2.95,71,102,1,2,17,8,0,20,Non,7,R,R,R,Suburban,Y,0,Fr,N
M,other,2.8,69,120,1,2,12,13,1,50,Non,6,R,R,R,Suburban,N,0,Sa,Y
M,So,2.9,73,120,1,2,9,18,0,29,Non,6.5,L,R,L,Suburban,Y,0,Tu,Y
F,So,3.5,67,90,1,3,0,7,0,24,Non,7,R,R,R,Urban,Y,0,Th,Y
M,Sr,3.101,75,68,2,2,15,8,1,61,Non,5,R,R,L,Rural,N,1,Th,Y
F,So,3.2,65,63,3,3,30.00,6,2,35,Non,7,R,R,R,Suburban,Y,0,Su,Y
M,So,3.22,68,100,2,3,12,3,2,30,Non,6.5,R,R,R,Suburban,Y,0,Th,Y
F,So,3.32,66,100,2,2,40,19,0,25,Non,7.5,L,R,L,Suburban,Y,1,Th,Y
M,Sr,3.07,71,68,5,4,15,15,2,24,Non,7.5,R,R,R,Rural,N,0,We,Y
M,Sr,3.4,69,56,3,1,0,3,4,150,Non,9,R,R,R,Urban,N,0,Th,Y
F,Ju,3.83,67,60,1,3,40,18,1,15,Non,7.0,R,R,R,Suburban,Y,.5,Su,N
M,Ju,3.87,75,60,2,4,20,10,0,100,Non,5,R,R,R,Suburban,Y,0,Mo,Y
F,So,3.7,67,72,3,4,24,14,1,30,Non,5.0,R,R,R,Rural,Y,0,Su,Y
M,So,3.0,72,60,1,3,15,22,1,150,,6.0,R,R,L,Suburban,Y,2,Su,Y
M,Sr,2.9,77,51,1,4,0,11,2,35,Non,6.5,R,R,R,Suburban,N,0,Tu,Y
F,Sr,3.4,69,75,2,3,15,3,0,25,Non,6,R,R,R,Suburban,N,0,Fr,Y
F,other,3.8,64,66,1,3,26,14,1,50,Non,8.5,R,R,R,Suburban,N,0,Fr,Y
M,other,3.8,73,66,1,4,0,9,0,30,Non,9,R,R,R,Rural,N,5,We,Y
M,Sr,3.223,71,60,5,3,14,13,0,3,Non,7.5,R,R,R,Suburban,N,0,Fr,Y
M,Sr,3.1,73,56,3,1,8,7,2,40,Non,6.5,R,R,R,Suburban,N,0,We,Y
F,So,2.9,69,66,2,3,0,1,1,15,Non,9,L,R,R,Suburban,N,0,Sa,Y
F,Ju,3.0,65,84,1,4,0,13,0,15,Non,7.5,R,R,L,Urban,N,0,Mo,Y
F,Fr,2.5,66,66,1,4,20,7,0,46,Non,7.5,R,R,R,Suburban,Y,1,Th,N
M,Ju,3.4,70,60,1,2,10,19,1,40,Non,7.25,L,R,R,Suburban,N,1,Fr,Y
F,Sr,3.53,70.5,80,1,2,10,3,0,15,Non,7,R,R,R,Suburban,N,0,Th,Y
M,Sr,3.3,73,48,2,2,12,6,1,30,Non,7.5,R,R,R,Urban,N,0,Su,Y
F,Ju,3.0,67,60,1,2,25,14,2,100,Non,8.5,L,R,R,Suburban,N,0,Mo,Y
M,other,3.3,69,68,4,1,9,11,0,50,Non,7.5,R,R,R,Suburban,N,0,Th,Y
M,Sr,2.5,73,72,2,1,0,3,0,100,Non,8,R,R,R,Suburban,N,2,Mo,Y
M,Fr,2.9,64,80,4,2,12.99,11,0,80,Non,5.5,R,R,R,Suburban,Y,2,Th,N
M,Fr,3.1,74,80,2,2,9,18,0,40,Non,6.5,R,R,R,Rural,Y,1,Sa,N
F,Fr,3.68,66,75,4,4,0,2,0,36,Non,7,R,R,R,Rural,Y,0,We,N
F,Fr,3.0,63,,3,3,20,17,0,32,Non,7,R,R,R,Suburban,Y,0,Th,N
M,Sr,3.36,70,,3,3,11.95,5,1,40,Non,8,R,R,R,Suburban,Y,0,Th,Y
M,Sr,3.8,73,,3,4,0,6,1,3,Non,7,R,R,L,Rural,N,1,Sa,Y
M,So,3.315,71,88,1,1,7.00,13.86,0,90,Non,3.5,R,R,R,Rural,Y,0,Sa,N
M,Fr,3.6,76,72,2,2,10,23,1,30,Non,6.5,R,R,L,Suburban,Y,2,Th,N
M,Fr,3.7,69.75,92,1,2,0,14.27,0,50,Non,8,L,R,R,Suburban,Y,0,Fr,N
M,Fr,3.4,74,60,2,2,14,2,0,24,Non,8,R,R,R,Suburban,Y,0,Mo,N
M,Ju,2.89,74.75,64,3,3,12.00,7,0,60,Non,11,R,R,L,Rural,N,0,Su,Y
F,Ju,3.0,63.75,60,3,3,100,17,0,30,Non,7.5,R,R,R,Urban,Y,0,Th,Y
M,So,3.75,73,72,3,3,0,8,1,50,Smoke,7.5,R,L,L,Urban,Y,3,Tu,Y
F,Fr,2.4,69,76,2,3,30,15,1,200,Non,7,R,R,R,Suburban,Y,0,Mo,N
M,Fr,2.911,71,65,4,4,10,7,0,7,Non,7.5,R,R,R,Suburban,Y,0,Su,N
M,So,3.065,69,68,3,4,11,13,0,2,Non,6.5,R,R,R,Suburban,Y,0,Su,N
M,So,3.3,69,72,1,4,0,13,0,15,Non,6,L,R,R,Rural,N,2,Fr,N
M,So,3.7,74,75,1,2,13.00,25,0,45,Non,7,R,R,R,Suburban,Y,0,We,Y
F,Ju,3.32,70,72,2,3,20,13,1,80,Non,4,R,R,R,Suburban,Y,1,Mo,Y
F,Sr,3.30,64,72,1,4,0,3,1,150,Non,5,R,R,R,Suburban,Y,0,Mo,Y
M,Sr,2.9,72,,2,3,15,80,5,23,Non,5,R,R,R,Suburban,N,1,Fr,Y
M,Sr,3.3,68,16,3,5,10,72,2,11,Smoke,8,R,L,R,Suburban,N,,Tu,N
M,So,3.301,69,,3,4,17.00,14,0,20,Non,6,R,R,R,Rural,Y,0,Mo,Y
M,So,2.80,73,,3,3,12.50,12,0,17,Non,6.5,L,R,R,Rural,Y,0,Sa,N
F,Ju,3.7,67.5,72,2,2,20,12,1,115,Non,8,R,R,R,Suburban,N,0,Mo,Y
F,Ju,3.8,66.5,65,3,3,0,19,0,80,Non,7,L,R,R,Suburban,N,0,Tu,Y
F,So,2.75,64,90,2,4,28,2,2,35,Non,8,R,,,Suburban,Y,0,Sa,N
F,So,3.5,67,90,1,5,20,17,0,12,Non,6.5,R,R,R,Rural,Y,0,Th,Y
F,So,3.37,65,68,1,4,0,8,0,75,Non,9,R,L,R,Suburban,Y,0,Mo,N
F,Fr,3.7,67,60,1,2,35,14,0,60,Non,8,R,R,R,Suburban,Y,0,Mo,N
F,Fr,3.1,65,72,2,2,22,18,1,40,Non,7,R,R,R,Suburban,Y,2,Fr,N
F,Fr,4.0,67,73,3,2,0,68,0,13,Non,9,R,R,R,Rural,Y,0,Mo,N
M,Fr,3.2,73,72,4,1,0,9,1,30,Non,6.5,R,R,R,Rural,Y,0,Mo,N
F,Fr,3.6,68,72,2,1,0,3,1,60,Non,8.5,R,L,R,Suburban,Y,0,We,N
F,So,2.3,64,60,2,3,0,3,0,20,Non,7,L,R,R,Suburban,Y,0,We,Y
F,Fr,3.3,64,80,3,2,20,7,1,45,Non,6.5,R,R,R,Suburban,Y,0,Mo,N
F,Fr,3.33,64,80,1,3,20,7,1,45,Non,6.5,R,R,R,Suburban,Y,0,Mo,N
F,So,2.3,65,60,2,3,0,3,0,20,Non,7,L,R,R,Suburban,Y,0,We,Y
F,Fr,3.6,70,65,2,3,25,7,1,15,Non,6.5,R,R,R,Rural,Y,0,Tu,Y
M,Fr,3.2,68,75,2,2,14,20,1,25,Non,5,R,R,R,Rural,Y,0,Th,N
M,So,3.4,72,80,3,3,11,12,0,26,Non,6,R,R,R,Suburban,Y,0,Tu,Y
F,other,3.6,64,76,3,3,0,13,0,14,Non,7,R,L,R,Urban,N,0,Sa,Y
F,Sr,2.9,65,72,3,3,0,6,4,60,Non,8,R,R,L,Suburban,N,1,Su,Y
F,Sr,3.5,67,65,2,2,25,7,1,40,Non,12,R,R,R,Suburban,N,1,Sa,Y
M,Sr,3.4,74,69,3,4,0,18,1,20,Smoke,9,R,R,R,Suburban,N,0,Fr,Y
M,Sr,2.9,73,72,3,5,10.00,8,0,75,Non,6,R,R,R,Rural,N,0,Sa,Y
F,Sr,3.4,62,84,1,2,12,17,0,45,Non,6,R,L,R,Suburban,Y,0,Mo,Y
F,Ju,3.9,67,88,1,3,0,4,0,30,Non,6,R,R,R,Rural,N,0,Th,Y
F,So,3.70,68,60,2,3,18,17,0,57,Non,8,L,R,L,Urban,Y,0,Sa,Y
F,Fr,3.3,67,52,2,1,12,15,0,30,Non,8,R,R,L,Urban,Y,2,Sa,N
F,Sr,3.5,66,60,2,3,10,8,1,20,Non,7,R,R,R,Suburban,N,0,Th,Y
F,Sr,3.3,65,65,2,2,10,53,3,17,Non,6.5,R,R,R,Suburban,N,0,We,Y
M,So,3.5,69,70,3,3,12,3,3,15,Non,10,R,R,R,Suburban,Y,5,Mo,Y
M,Fr,3.1,71,75,1,1,8,17,0,30,Non,6,R,R,R,Suburban,Y,0,Tu,Y
F,Fr,3.67,71,64,4,4,0,9,1,100,Non,13,R,R,R,Suburban,Y,0,Sa,N
F,So,3.906,68,60,1,3,24,20,0,4,Non,8.5,R,R,R,Suburban,Y,0,Tu,Y
F,Fr,,66,,1,2,40,2,0,100,Non,7,R,R,R,Suburban,Y,1,We,N
F,So,2.57,66,,2,3,40,17,0,40,Non,7,R,R,R,Urban,Y,0,Sa,Y
M,Ju,3.3,67,,1,2,10.00,6,0,200,Non,8,R,R,R,Urban,N,0,Fr,Y
F,So,,63,,1,3,12.00,7,0,50,Non,7,R,R,R,Urban,Y,1,We,N
M,Ju,2.8,75.5,62,1,3,0,7,0,100,Non,6,R,R,R,Suburban,N,2,Tu,Y
M,So,3.5,73,70,2,3,0,14,0,150,Smoke,7,R,R,R,Suburban,N,0,Th,N
M,Ju,2.5,71,60,5,1,12.00,17,5,40,Non,5,R,R,L,Suburban,N,0,Tu,Y
F,So,3.0,69,60,4,2,35.00,15,4,20,Non,8,R,R,R,Suburban,Y,0,We,Y
M,Fr,3.0,,70,1,4,0,5,0,10,,8,R,R,R,Urban,Y,0,Th,Y
M,Fr,2.4,,68,2,3,0,11,0,10,Non,11.5,R,R,R,Urban,Y,0,Sa,Y
F,Ju,3.535,68,108,5,2,60,8,0,52,Non,6,R,R,R,Suburban,Y,0,We,Y
F,Ju,4.0,61,78,3,3,50,7,0,30,Non,6,R,R,R,Urban,Y,0,Su,Y
F,Fr,3.5,63,68,2,3,4,17,0,20,Non,7,R,R,R,Suburban,Y,0,We,N
F,Fr,3.908,62,70,3,3,0,8,0,20,Non,6.5,R,L,R,Suburban,Y,0,Th,N
M,Fr,3.241,70,,4,5,0,16,0,8,Non,5.5,R,R,R,Urban,N,0,Sa,N
M,Fr,1.4,73,,1,3,0,20,0,10,Non,11,R,R,R,Urban,Y,0,Th,Y
F,Ju,3.45,63.5,72,1,2,45,12,0,65,Non,6.5,L,R,R,Suburban,N,0,Mo,Y
M,Ju,3.76,71,64,1,3,0,17,1,100,Non,6.5,R,R,R,Suburban,N,0,Fr,Y
M,So,3.4,74,60,5,1,0,8,0,45,Non,6,R,R,R,Suburban,Y,0,Th,Y
M,Fr,3.8,73,66,2,1,0,3,0,30,Non,8,R,R,R,Suburban,Y,0,We,N
M,Ju,2.4,65,,1,3,9.9,4,0,10,Non,7.5,R,R,R,Suburban,Y,0,Su,Y
F,So,2.5,63,,1,2,10,6,0,30,Smoke,8,R,R,R,Suburban,Y,0,Mo,N
M,So,2.7,74,70,3,4,10,3,1,15,Non,6,L,R,R,Suburban,Y,0,Su,N
M,Ju,3.7,70,68,3,4,10,8,0,20,Non,7,R,R,R,Suburban,Y,0,We,Y
F,Fr,3.2,74,78,3,2,8,7,0,30,Non,6.5,R,R,R,Suburban,Y,0,Sa,N
F,other,,70,68,5,1,40,15,0,3,Non,7,R,R,R,Suburban,N,1,Tu,Y
F,So,2.7,68.5,,3,3,34,2,1,40,Non,5,R,R,R,Suburban,N,0,Su,N
M,other,3.2,73.5,,1,6,14,19,4,100,Non,8,R,R,R,Rural,N,6,Th,Y
M,So,3.1,72,80,1,3,11,12,0,40,Non,6,R,R,R,Suburban,Y,0,Th,N
M,Ju,3.2,73,75,2,2,11,11,0,20,Non,5.5,R,R,R,Suburban,Y,0,We,N
M,Ju,3.2,78,50,2,2,20,3,1,150,Non,8,R,R,R,Suburban,N,1,Su,Y
M,Ju,3.541,75,62,5,5,10,7,1,60,Non,6.5,R,R,R,Suburban,N,0,We,Y
M,So,3.9,74,,2,3,2.00,10,0,40,Non,8,R,R,R,Urban,Y,0,Sa,N
F,So,3.4,70,,1,3,30.00,4,0,50,Non,7.5,R,R,R,Suburban,Y,0,Mo,N
F,So,3.26,68,82,3,4,23,10,1,18,Smoke,5,R,R,R,Suburban,Y,0,Th,Y
M,So,3.1,74,72,1,4,15,8,0,24,Non,6,R,R,R,Suburban,Y,0,Sa,Y
F,Fr,3.6,59,59,3,1,70,14,0,35,Non,8,R,R,R,Suburban,Y,2,Su,N
F,Fr,3.4,67,63,3,2,20,17,0,100,Non,6,R,L,R,Suburban,Y,0,Su,N
M,So,3.4,73,,6,4,15,5,2,50,Non,7.5,R,R,R,Urban,Y,0,Tu,Y
M,So,3.8,68,,3,3,0,9,0,65,Non,7,R,R,R,Suburban,Y,0,We,N
F,So,3.2,65,70,4,4,0,17,0,25,Non,8,R,R,R,Rural,Y,0,We,Y
F,So,3.0,70,75,4,4,30,8,0,15,Non,7,R,R,R,Suburban,Y,3,Tu,Y
F,Ju,3.8,78,68,3,4,30,10,0,60,Non,5.5,R,R,R,Rural,Y,2,We,Y
M,Fr,2.8,75,65,2,3,0,2,1,90,Non,5,R,R,R,Urban,Y,1,Su,N
F,Fr,3.4,65,70,3,5,25,7,0,50,Non,7,R,R,R,Rural,Y,0,Fr,N
F,So,3.28,,75,1,2,12,6,0,20,Non,6,R,R,R,Suburban,Y,1,Th,N
F,So,2.7,,78,1,2,30,6,0,100,Non,7,R,R,R,,Y,0,We,Y
F,So,3.268,,84,1,2,12,6,0,18,Non,6,R,R,R,Suburban,Y,0,Th,N
F,So,3.57,60,70,1,2,21,5,0,37,Non,6,R,R,R,Suburban,Y,0,Th,Y
F,So,3.7,70,100,2,3,20,7,0,25,Non,6,R,R,R,Suburban,Y,0,Su,Y
M,Ju,2.8,68,60,1,3,10,10,0,10,Non,7,R,R,R,Suburban,Y,3,Fr,Y
F,So,3.212,65,84,4,5,10.00,5,0,60,Non,8,R,R,R,Rural,Y,0,Sa,N
F,So,2.3,64,60,2,3,0,3,0,20,Non,7,L,R,R,Suburban,Y,0,We,Y
M,Sr,3.91,72,85,2,3,0,5,1,30,Non,7.5,R,R,R,Rural,N,0,Fr,Y
M,Sr,3.9,71,55,2,2,0,4,0,65,Non,6.5,R,R,R,Urban,N,0,Su,Y
F,Fr,2.6,39,74,1,1,17,7,0,20,Non,6.5,L,R,R,Suburban,Y,1,Fr,N
F,Ju,3.4,70,80,2,2,30,12,0,22,Non,5,R,R,L,Urban,Y,0,Mo,Y
M,Fr,2.5,71,84,3,3,35,10,1,601,Non,5.25,R,R,R,Suburban,Y,0,Tu, 
M,Fr,3.3,73,84,2,2,35,13,0,10,Non,6,R,R,R,Suburban,Y,0,Mo,N
F,So,3.05,67,80,3,3,10,17,0,30,Non,8.5,R,R,R,Suburban,Y,0,Su,N
F,So,3.48,71,80,3,1,15,15,1,30,Non,7.5,R,R,R,Suburban,Y,0,Su,N
M,Sr,2.97,72,16,2,3,15,7,5,23,Non,5,R,R,R,Suburban,N,,Fr,Y
M,other,,79,15,3,5,10,80,1,5,Smoke,8,R,R,L,Suburban,N,1,Tu,N
