Survey,Q1,Q2,Hours,Grade,Credits
1030,5,5,10.5,3.95,3
1030,4,4,4.5,3.65,3
1030,4,4,6.5,3.65,3
1030,4,4,4.5,3,3
1030,4,4,4.5,3.65,3
1030,3,3,2.5,3.65,3
1030,3,3,2.5,3.95,3
1030,4,4,4.5,3.65,3
1030,4,4,8.5,3.95,3
1030,4,4,4.5,3.65,3
1030,5,5,4.5,3.95,3
1030,4,5,4.5,3.95,3
1031,4,4,4.5,3.65,3
1031,4,4,4.5,3,3
1031,5,5,10.5,3.95,3
1031,3,3,2.5,3.95,3
1031,4,3,4.5,3.65,3
1031,4,4,4.5,3.65,3
1031,4,4,8.5,3.65,3
1031,5,5,4.5,3.95,3
1031,4,4,4.5,3.65,3
1031,3,3,2.5,3.65,3
1031,4,4,6.5,3.65,3
1031,4,4,4.5,3.65,3
1031,4,5,4.5,3.95,3
1032,2,2,6.5,2,3
1032,3,3,6.5,3.3,3
1032,3,4,6.5,0.75,3
1032,2,2,4.5,2.3,3
1032,3,2,10.5,3,3
1032,0,1,4.5,3,3
1032,3,3,2.5,3.3,3
1032,3,2,6.5,2.65,3
1032,2,3,8.5,2.65,3
1032,3,3,6.5,3,3
1032,4,4,4.5,3,3
1032,0,2,4.5,NA,3
1032,1,2,6.5,3,3
1032,1,1,8.5,3.3,3
1032,2,3,8.5,3,3
1032,1,2,14.5,3.95,3
1032,3,3,4.5,2,3
1032,3,4,6.5,2.65,3
1033,4,4,4.5,3.95,3
1033,5,5,10.5,3.65,3
1033,4,4,4.5,3.65,3
1033,4,4,6.5,3.3,3
1033,5,5,4.5,3.95,3
1033,5,4,4.5,3.95,3
1033,5,4,6.5,3.3,3
1033,5,5,8.5,3.65,3
1033,4,4,4.5,3.95,3
1033,5,5,6.5,3,3
1033,5,5,4.5,3.3,3
1033,4,3,4.5,3.65,3
1033,3,3,4.5,3.65,3
1033,4,4,4.5,3.65,3
1033,5,5,4.5,3.95,3
1033,4,3,2.5,3.65,3
1033,4,4,4.5,3.65,3
1033,5,5,10.5,3.3,3
1033,5,5,8.5,3,3
1033,5,4,4.5,2.3,3
1034,3,2,2.5,3,3
1034,3,3,4.5,3,3
1034,1,1,4.5,1.65,3
1034,3,1,4.5,3.65,3
1034,3,2,4.5,3.65,3
1034,3,3,2.5,3.65,3
1034,4,4,2.5,3.3,3
1034,3,3,4.5,3.3,3
1034,4,4,6.5,2.65,3
1034,3,3,4.5,3.3,3
1034,4,4,4.5,3,3
1034,1,2,2.5,1.65,3
1034,3,4,4.5,3.3,3
1034,3,3,6.5,3.3,3
1034,4,4,10.5,3,3
1034,1,2,4.5,3.95,3
1035,4,5,4.5,2,3
1035,4,4,2.5,2.65,3
1035,3,4,8.5,2.3,3
1035,4,4,4.5,3.95,3
1035,4,4,4.5,3.3,3
1035,5,5,6.5,3.3,3
1035,4,4,NA,3.3,3
1035,4,3,8.5,3,3
1035,4,3,4.5,3.3,3
1035,4,4,6.5,3.65,3
1035,5,5,4.5,3.65,3
1035,3,4,4.5,3,3
1035,5,5,4.5,3.3,3
1035,4,4,4.5,2.3,3
1035,4,4,4.5,3.3,3
1035,4,5,6.5,3,3
1035,4,4,6.5,3,3
1035,5,5,12.5,3.65,3
1035,4,5,4.5,3.3,3
1035,5,5,4.5,3.65,3
1035,4,4,4.5,3,3
1035,4,4,4.5,3.65,3
1035,5,5,10.5,3,3
1035,4,5,6.5,2.65,3
1035,5,4,4.5,3.65,3
1037,5,5,8.5,3,3
1037,4,4,2.5,3.65,3
1037,4,3,6.5,3.65,3
1037,4,4,4.5,3,3
1037,5,4,4.5,3.95,3
1037,5,4,4.5,3.3,3
1037,5,5,4.5,3.65,3
1037,4,3,4.5,3.3,3
1037,3,2,4.5,3.65,3
1037,4,5,2.5,3,3
1037,3,3,4.5,2.3,3
1037,5,5,6.5,3,3
1037,3,3,4.5,3.65,3
1037,5,5,2.5,3.65,3
1037,5,5,4.5,3.3,3
1037,3,2,6.5,3.65,3
1037,4,4,4.5,3.3,3
1037,5,5,6.5,3.65,3
1037,3,3,2.5,NA,3
1037,5,5,4.5,3.65,3
1037,3,3,8.5,3.3,3
1037,5,5,4.5,3.3,3
1037,2,3,4.5,3.3,3
1038,3,3,6.5,3.3,3
1038,5,4,6.5,3.65,3
1038,3,3,6.5,3.3,3
1038,4,4,4.5,2.65,3
1038,4,4,6.5,3.65,3
1038,3,3,4.5,3.3,3
1038,4,3,6.5,3.65,3
1038,5,5,4.5,3.95,3
1038,4,4,6.5,3.95,3
1038,5,5,8.5,3.3,3
1038,5,5,8.5,3.65,3
1038,4,4,4.5,3.65,3
1038,3,3,8.5,3.65,3
1038,4,4,4.5,3.3,3
1038,4,4,6.5,3.3,3
1038,4,3,6.5,3.65,3
1038,3,4,1,3,3
1038,4,3,6.5,3.3,3
1038,5,5,8.5,3,3
1038,5,5,4.5,3.3,3
1038,3,3,6.5,2,3
1038,4,5,6.5,3.65,3
1038,4,4,4.5,3.3,3
1038,5,5,4.5,3.65,3
1038,4,4,4.5,2.65,3
1038,4,4,4.5,3.65,3
1038,5,4,4.5,3,3
1038,5,4,8.5,3.65,3
1038,4,4,4.5,3.65,3
1039,5,4,6.5,2.3,3
1039,4,4,4.5,3,3
1039,4,3,4.5,3.65,3
1039,4,4,4.5,3.95,3
1039,4,4,4.5,3.95,3
1039,3,3,4.5,3.65,3
1039,4,4,8.5,2,3
1039,4,3,2.5,3.65,3
1039,4,3,8.5,3.65,3
1039,4,4,6.5,3.3,3
1039,5,4,4.5,2.65,3
1039,4,5,6.5,3.3,3
1039,3,3,6.5,3.65,3
1039,4,4,6.5,3.95,3
1039,4,4,8.5,3.3,3
1039,2,3,6.5,3.65,3
1039,4,4,4.5,3,3
1039,4,4,6.5,3.65,3
1039,4,4,6.5,3,3
1039,4,4,6.5,3.65,3
1039,3,3,1,3,3
1039,4,5,2.5,3.3,3
1039,4,4,4.5,3,3
1039,4,5,8.5,3.95,3
1040,4,3,4.5,3.3,3
1040,3,2,4.5,3.95,3
1040,3,3,4.5,2.65,3
1040,4,4,6.5,3.3,3
1040,5,5,6.5,3.65,3
1040,5,4,6.5,3,3
1040,4,4,4.5,3.3,3
1040,5,5,4.5,3.65,3
1040,4,3,4.5,3.3,3
1040,2,3,6.5,3.65,3
1040,4,3,4.5,3.95,3
1040,3,4,6.5,3,3
1040,4,5,6.5,3.95,3
1040,3,3,4.5,3.95,3
1040,4,4,2.5,3.3,3
1040,3,3,8.5,3,3
1040,2,2,4.5,2.65,3
1040,4,4,6.5,3.95,3
1040,3,3,4.5,3,3
1040,4,3,6.5,3.3,3
1040,4,4,22.5,3,3
1040,5,5,6.5,3.65,3
1040,3,3,4.5,3.95,3
1040,5,4,2.5,3.65,3
1040,4,4,2.5,3,3
1040,3,3,6.5,3,3
1040,4,4,4.5,3.3,3
1041,4,4,6.5,3.3,3
1041,4,5,4.5,3.65,3
1041,3,2,6.5,3.95,3
1041,4,4,8.5,3.65,3
1041,3,3,4.5,3.65,3
1041,3,3,2.5,2,3
1041,4,5,2.5,3.95,3
1041,4,3,4.5,3,3
1041,4,5,14.5,2.65,3
1041,3,3,6.5,3.3,3
1041,4,4,4.5,3,3
1041,2,2,6.5,3.3,3
1041,2,2,4.5,3,3
1041,3,3,6.5,3,3
1041,4,4,4.5,3.65,3
1041,4,4,8.5,2.65,3
1041,4,4,6.5,3,3
1041,3,3,4.5,3.95,3
1041,4,4,8.5,2.65,3
1041,5,5,6.5,3,3
1041,5,5,6.5,3,3
1041,5,5,6.5,3.65,3
1041,3,3,4.5,3,3
1041,4,4,4.5,2.65,3
1042,4,4,4.5,3.95,3
1042,5,5,2.5,3.65,3
1042,4,4,4.5,3.65,3
1042,2,2,8.5,3,3
1042,4,4,6.5,2.65,3
1042,4,4,8.5,3.95,3
1042,4,4,8.5,3.3,3
1042,4,4,2.5,3.65,3
1042,3,3,4.5,2.3,3
1042,3,3,4.5,3,3
1042,4,4,4.5,3,3
1042,4,4,4.5,2.65,3
1042,5,5,4.5,3.95,3
1042,5,4,6.5,3.95,3
1042,4,4,4.5,3.65,3
1042,4,4,4.5,2.65,3
1042,5,5,4.5,3.65,3
1042,3,3,4.5,3.65,3
1042,4,4,6.5,3.65,3
1042,3,4,6.5,3,3
1042,5,5,2.5,3.3,3
1042,5,5,4.5,3.65,3
1043,3,2,6.5,3.65,3
1043,3,3,12.5,NA,3
1043,2,2,8.5,3,3
1043,3,3,4.5,3.95,3
1043,2,2,4.5,3,3
1043,3,3,6.5,3.3,3
1043,3,3,4.5,3,3
1043,3,3,4.5,3.65,3
1043,3,3,8.5,3,3
1043,4,4,NA,2.3,3
1043,2,2,6.5,2,3
1043,3,2,4.5,3,3
1043,4,5,6.5,3.65,3
1043,3,3,4.5,3,3
1043,3,3,6.5,3.3,3
1043,3,4,4.5,3.65,3
1043,2,2,8.5,3,3
1043,2,2,6.5,2.3,3
1043,5,5,16.5,3.65,3
1043,5,5,6.5,3.65,3
1043,2,3,10.5,2,3
1043,4,4,10.5,3.3,3
1043,3,3,6.5,3.65,3
1043,3,3,4.5,2.65,3
1043,3,3,2.5,2.3,3
1043,3,3,2.5,2.65,3
1043,3,2,2.5,3,3
1043,4,4,8.5,3,3
1043,2,2,4.5,3.3,3
1043,4,4,4.5,3.95,3
1043,3,3,4.5,3,3
1044,4,4,2.5,3.65,3
1044,4,4,6.5,2.65,3
1044,5,4,4.5,2.65,3
1044,5,5,8.5,3,3
1044,5,4,4.5,3.65,3
1044,5,5,6.5,3.3,3
1044,3,4,6.5,3.3,3
1044,5,4,4.5,3.65,3
1044,4,4,10.5,3.3,3
1044,4,4,NA,3,3
1044,4,5,6.5,3,3
1044,4,4,8.5,3,3
1044,4,4,10.5,2.65,3
1044,5,4,6.5,2.65,3
1044,4,5,4.5,3.95,3
1044,4,4,4.5,3.65,3
1044,5,4,6.5,3.95,3
1044,5,5,4.5,3.3,3
1044,4,4,6.5,2.65,3
1044,4,4,6.5,3,3
1044,5,5,4.5,3.3,3
1044,4,4,6.5,3.65,3
1044,3,3,4.5,3,3
1044,5,4,8.5,3.95,3
1044,4,3,2.5,2.65,3
1044,4,4,4.5,3,3
1044,5,5,6.5,3.65,3
1044,4,4,6.5,3.3,3
1044,5,4,8.5,3.65,3
1044,4,3,4.5,3.3,3
1044,4,4,4.5,3.3,3
1044,5,5,6.5,3.3,3
1045,4,4,14.5,2.65,3
1045,4,4,4.5,3,3
1045,3,3,4.5,2,3
1045,3,3,6.5,3.3,3
1045,5,5,4.5,3,3
1045,5,4,2.5,3,3
1045,5,5,4.5,3.65,3
1045,4,4,6.5,3.95,3
1045,4,3,4.5,3,3
1045,5,4,4.5,3.3,3
1045,5,3,8.5,3.95,3
1045,2,3,4.5,2,3
1045,3,3,4.5,3.65,3
1045,3,3,6.5,3,3
1045,4,4,10.5,3.3,3
1045,4,4,12.5,3.95,3
1045,3,3,4.5,3,3
1045,3,4,4.5,3,3
1045,3,3,6.5,3,3
1045,4,4,6.5,3.3,3
1045,4,4,22.5,2.3,3
1045,4,3,8.5,3.3,3
1045,4,4,4.5,3,3
1045,3,3,4.5,3,3
1045,5,5,6.5,3.3,3
1045,4,4,2.5,2.65,3
1045,5,5,6.5,2.3,3
1045,5,4,8.5,3,3
1045,3,3,1,2.65,3
1045,4,4,4.5,3,3
1045,5,5,6.5,3.65,3
1045,5,5,6.5,3,3
1045,4,4,4.5,3.65,3
1046,5,5,4.5,3,3
1046,4,5,8.5,3,3
1046,2,2,4.5,1.65,3
1046,3,2,2.5,3.65,3
1046,2,4,4.5,2.3,3
1046,4,4,6.5,2.65,3
1046,4,5,6.5,3.3,3
1046,4,3,4.5,3.3,3
1046,5,4,8.5,3.95,3
1046,5,4,8.5,3,3
1046,5,5,4.5,2.65,3
1046,5,5,4.5,3,3
1046,5,5,4.5,3.3,3
1046,5,5,8.5,3.95,3
1046,5,5,8.5,3.3,3
1046,5,5,8.5,3.3,3
1046,4,4,4.5,3.3,3
1046,3,3,4.5,3.65,3
1046,4,4,2.5,3,3
1046,4,2,4.5,3.65,3
1046,2,2,4.5,3,3
1046,5,5,4.5,3.65,3
1046,5,5,6.5,3.65,3
1046,4,4,4.5,3,3
1046,4,4,4.5,3,3
1046,3,3,4.5,2.65,3
1046,4,4,6.5,3.65,3
1046,5,5,4.5,2.65,3
1046,4,4,NA,3.65,3
1046,3,4,8.5,NA,3
1046,5,5,12.5,3,3
1047,4,4,4.5,2.3,3
1047,4,3,4.5,3.95,3
1047,3,3,6.5,3.95,3
1047,4,4,4.5,3.65,3
1047,4,4,6.5,3.3,3
1047,4,4,4.5,3,3
1047,4,4,6.5,3.65,3
1047,4,3,6.5,1.65,3
1047,4,4,2.5,3,3
1047,3,3,8.5,3,3
1047,5,5,6.5,3.95,3
1047,3,3,4.5,3,3
1047,5,5,6.5,3,3
1047,5,4,4.5,2,3
1047,3,4,4.5,3.3,3
1047,5,5,6.5,3.3,3
1047,4,3,4.5,3.65,3
1047,4,4,4.5,2,3
1047,5,5,4.5,3,3
1047,3,3,4.5,3.95,3
1047,1,1,1,2,3
1047,2,2,NA,3.65,3
1047,4,5,10.5,2.3,3
1047,4,4,2.5,3.3,3
1047,5,5,4.5,3.3,3
1047,3,3,4.5,3,3
1047,2,3,4.5,2.65,3
1047,3,3,6.5,3.95,3
1047,3,3,6.5,3,3
1047,4,4,2.5,3.95,3
1047,4,4,4.5,2.65,3
1047,5,4,6.5,3.95,3
1047,3,4,4.5,3,3
1048,5,5,2.5,3.3,3
1048,3,3,4.5,3.3,3
1048,3,3,6.5,3.3,3
1048,2,2,1,2.65,3
1048,4,4,6.5,2,3
1048,3,4,4.5,3.65,3
1048,3,3,2.5,3,3
1048,4,3,4.5,2.65,3
1048,3,4,4.5,3.3,3
1048,3,3,2.5,3,3
1048,3,3,2.5,2.65,3
1048,3,4,6.5,3.3,3
1048,3,4,4.5,3.65,3
1048,3,3,4.5,2.65,3
1048,3,3,4.5,3.3,3
1048,3,3,2.5,3,3
1048,4,4,4.5,3.3,3
1048,3,3,4.5,3.65,3
1048,3,3,6.5,3.65,3
1048,3,2,10.5,3.65,3
1048,2,3,4.5,3,3
1048,4,3,8.5,3.95,3
1048,3,3,6.5,2.65,3
1048,3,4,2.5,3.3,3
1048,3,3,4.5,3,3
1048,3,3,8.5,3.3,3
1048,2,2,8.5,2.65,3
1048,3,4,8.5,3.65,3
1048,3,3,4.5,3.65,3
1048,2,2,6.5,3,3
1048,2,2,4.5,2.65,3
1049,3,3,4.5,3.95,3
1049,4,3,4.5,3.3,3
1049,1,2,2.5,2.65,3
1049,5,4,NA,3.95,3
1049,2,3,6.5,1,3
1049,5,5,4.5,3.3,3
1049,4,4,6.5,NA,3
1049,3,2,4.5,3.3,3
1049,4,3,NA,NA,3
1049,5,5,2.5,3.3,3
1049,3,3,1,3.95,3
1049,5,5,8.5,3.65,3
1049,2,1,2.5,3.65,3
1049,4,4,6.5,3.95,3
1049,4,4,4.5,2.65,3
1049,3,4,4.5,3.95,3
1049,3,3,8.5,3,3
1049,4,4,4.5,3,3
1049,3,4,4.5,3,3
1049,4,4,4.5,2.65,3
1049,3,3,4.5,3.65,3
1049,4,3,4.5,2.65,3
1049,4,4,4.5,3.65,3
1049,3,4,2.5,3.3,3
1049,4,4,12.5,2,3
1049,4,4,8.5,3,3
1049,4,5,4.5,3.3,3
1049,3,3,4.5,3.65,3
1050,4,4,8.5,3.3,3
1050,3,3,8.5,3.3,3
1050,4,4,4.5,3.3,3
1050,4,4,4.5,3.65,3
1050,4,5,6.5,3.95,3
1050,3,3,6.5,3.3,3
1050,2,3,1,3.95,3
1050,4,3,6.5,3.95,3
1050,3,3,6.5,3.65,3
1050,3,4,6.5,3.3,3
1050,4,3,6.5,3.65,3
1050,3,3,6.5,3.65,3
1050,5,4,4.5,3.65,3
1050,5,5,16.5,3,3
1055,4,5,6.5,3.65,3
1055,4,4,6.5,3.65,3
1055,5,5,NA,NA,3
1055,4,4,8.5,2.65,3
1055,5,5,6.5,3,3
1055,5,5,6.5,3.65,3
1055,4,4,4.5,3.3,3
1055,5,5,6.5,3.65,3
1055,4,4,4.5,3.95,3
1055,NA,4,4.5,3.65,3
1055,5,5,2.5,3,3
1055,5,4,8.5,3.65,3
1055,5,5,14.5,3.95,3
1055,5,5,6.5,2,3
1055,3,4,10.5,3.3,3
1055,5,5,6.5,3.95,3
1055,5,5,4.5,3.65,3
1055,4,4,4.5,3.95,3
1055,5,5,6.5,3.95,3
1055,4,4,6.5,2.65,3
1055,4,4,4.5,3,3
1055,4,4,8.5,3.65,3
1055,5,5,8.5,3.3,3
1056,5,4,6.5,3.65,3
1056,5,4,2.5,3.65,3
1056,3,3,4.5,2.65,3
1056,4,4,2.5,3.3,3
1056,3,3,8.5,3,3
1056,3,3,4.5,3,3
1056,4,4,4.5,3.95,3
1056,5,5,4.5,3.65,3
1056,4,4,4.5,3.65,3
1056,4,4,6.5,3.65,3
1056,3,4,4.5,3.3,3
1056,3,4,6.5,3.65,3
1056,4,4,4.5,2.65,3
1056,5,5,4.5,3.95,3
1056,3,3,6.5,2,3
1056,3,3,4.5,3.65,3
1056,3,4,2.5,3.65,3
1056,3,3,6.5,3.3,3
1056,4,4,6.5,3.65,3
1056,5,5,6.5,3.95,3
1056,3,3,4.5,3.65,3
1056,3,4,4.5,3.65,3
1056,4,5,6.5,3.65,3
1056,4,4,4.5,3.65,3
1056,5,4,6.5,2.3,3
1056,4,5,6.5,3.65,3
1056,5,5,4.5,3.65,3
1056,4,4,6.5,3.3,3
1056,5,4,4.5,3.65,3
1056,3,3,6.5,3.65,3
1056,4,4,4.5,3.3,3
1057,3,3,4.5,3.3,3
1057,1,3,8.5,1.3,3
1057,4,4,6.5,2,3
1057,2,2,6.5,3.3,3
1057,3,3,4.5,2.65,3
1057,5,5,8.5,3.95,3
1057,4,3,4.5,3.3,3
1057,4,3,4.5,2,3
1057,3,3,4.5,2.3,3
1057,4,4,10.5,3.65,3
1057,4,4,6.5,3.65,3
1057,4,4,6.5,3,3
1057,4,3,4.5,2.65,3
1057,3,3,4.5,3,3
1057,2,3,6.5,2.65,3
1057,3,3,4.5,1.65,3
1057,5,4,2.5,3,3
1057,4,3,1,3.65,3
1058,3,3,4.5,3.95,3
1058,4,4,6.5,3.65,3
1058,3,3,2.5,3.3,3
1058,3,3,1,3.65,3
1058,3,3,6.5,3.3,3
1058,3,3,4.5,3,3
1058,2,3,6.5,2,3
1058,4,5,6.5,3,3
1058,4,4,4.5,3.65,3
1058,3,3,6.5,3.65,3
1058,3,3,4.5,2,3
1058,5,4,4.5,3.65,3
1058,3,3,4.5,3.95,3
1058,3,4,10.5,2,3
1058,3,3,2.5,3,3
1058,4,4,2.5,3.95,3
1058,3,3,6.5,3.65,3
1058,3,3,1,3,3
1058,4,2,6.5,2.65,3
1058,3,3,4.5,3,3
1063,5,5,10.5,3.65,3
1063,4,4,4.5,3.3,3
1063,4,4,6.5,3.65,3
1063,4,5,6.5,3.3,3
1063,3,3,4.5,3.3,3
1063,5,5,6.5,3.65,3
1063,4,4,6.5,3.3,3
1063,4,4,6.5,3.3,3
1063,2,1,6.5,3.65,3
1063,3,3,2.5,3.3,3
1063,3,3,6.5,3.65,3
1063,5,5,6.5,3.95,3
1063,2,2,4.5,2,3
1063,4,4,10.5,NA,3
1063,4,4,4.5,3.95,3
1063,4,5,8.5,3.95,3
1063,4,4,2.5,3.65,3
1063,5,5,2.5,3.65,3
1063,5,4,4.5,3,3
1063,4,5,NA,15,3
1063,4,3,2.5,3.3,3
1063,2,3,6.5,3,3
1063,3,3,4.5,2.65,3
1063,3,3,4.5,3.65,3
1063,4,4,6.5,3.3,3
1063,5,5,4.5,2.3,3
1064,5,5,6.5,3.95,3
1064,4,5,6.5,3.3,3
1064,4,4,4.5,3.95,3
1064,4,4,6.5,3.65,3
1064,4,4,4.5,3.65,3
1064,4,4,4.5,3.65,3
1064,5,5,8.5,3.65,3
1064,3,3,6.5,3,3
1064,3,3,6.5,3.65,3
1064,4,4,6.5,2.3,3
1064,3,4,4.5,3,3
1064,4,4,8.5,3.3,3
1064,3,NA,6.5,3.3,3
1064,5,5,14.5,3.95,3
1064,3,4,4.5,3.3,3
1064,3,4,6.5,3.95,3
1064,3,4,6.5,3.65,3
1064,3,3,4.5,2.65,3
1064,4,4,4.5,3,3
1064,3,4,6.5,2.65,3
1064,5,5,8.5,3.95,3
1064,5,5,4.5,3,3
1064,4,5,8.5,3.3,3
1064,3,3,8.5,3.3,3
1064,3,4,6.5,3.3,3
1064,5,4,6.5,3,3
1064,4,4,6.5,3.3,3
1065,4,4,4.5,3.95,3
1065,4,4,4.5,3.65,3
1065,3,3,6.5,2.65,3
1065,4,4,8.5,3,3
1065,3,3,6.5,3,3
1065,4,5,6.5,3.3,3
1065,4,4,4.5,3.3,3
1065,5,5,4.5,3,3
1065,2,3,6.5,3.95,3
1065,4,3,4.5,3.3,3
1065,3,3,6.5,3,3
1065,5,5,4.5,3.3,3
1065,3,4,6.5,3.3,3
1065,4,5,8.5,3.3,3
1065,4,4,6.5,2,3
1065,4,4,6.5,2.65,3
1065,4,4,4.5,3,3
1065,5,5,4.5,3.3,3
1065,4,4,6.5,2,3
1065,3,4,6.5,3.65,3
1065,2,3,12.5,2,3
1065,4,5,8.5,3.65,3
1065,2,3,4.5,2.3,3
1065,3,3,6.5,3.3,3
1066,4,4,4.5,3.65,3
1066,4,4,8.5,2.65,3
1066,4,4,NA,NA,3
1066,4,4,4.5,3.3,3
1066,2,3,4.5,3,3
1066,2,3,6.5,3.3,3
1066,3,4,4.5,3.3,3
1066,3,4,6.5,3,3
1066,4,4,6.5,3.3,3
