"age","net","gun","sex","year","previous","nruns","id"
32,NA,64.65,"M",2007,1,2,"r30"
32,101.8,104.2,"M",2005,0,2,"r31"
34,NA,96.6,"M",2007,1,2,"r31"
29,112.7,117.8,"M",2003,0,3,"r32"
31,114.1,120.5,"M",2005,1,3,"r32"
32,111.8,121.2,"M",2006,2,3,"r32"
26,98.25,103.3,"F",2003,0,2,"r33"
27,93.35,95.62,"F",2004,1,2,"r33"
20,91.73,93.57,"F",2003,0,5,"r34"
21,90.87,91.9,"F",2004,1,5,"r34"
22,104.2,104.2,"F",2005,2,5,"r34"
23,95.52,98.7,"F",2006,3,5,"r34"
24,NA,95.27,"F",2007,4,5,"r34"
25,79.92,82.22,"F",2000,0,4,"r35"
27,78.27,81.72,"F",2002,1,4,"r35"
28,76.57,76.88,"F",2003,2,4,"r35"
32,NA,83.2,"F",2007,3,4,"r35"
33,110.2,113.7,"F",2005,0,2,"r36"
35,NA,100,"F",2007,1,2,"r36"
22,NA,112,"F",2007,0,2,"r37"
23,NA,103.6,"F",2008,1,2,"r37"
32,NA,96.52,"M",1999,0,8,"r38"
33,96.63,101,"M",2000,1,8,"r38"
34,89.1,92.05,"M",2001,2,8,"r38"
35,123,129.4,"M",2002,3,8,"r38"
36,97.68,103.7,"M",2003,4,8,"r38"
37,100.4,105.9,"M",2004,5,8,"r38"
39,108.4,117,"M",2006,6,8,"r38"
41,NA,98.78,"M",2008,7,8,"r38"
43,NA,151.2,"M",1999,0,2,"r39"
44,97.9,100.8,"M",2000,1,2,"r39"
52,100.1,104.2,"M",2001,0,4,"r40"
53,98.3,104.9,"M",2002,1,4,"r40"
57,112.2,114.8,"M",2006,2,4,"r40"
58,NA,71.68,"M",2007,3,4,"r40"
53,90.6,93.85,"M",2002,0,2,"r41"
54,98.75,102.4,"M",2003,1,2,"r41"
28,99.83,102.5,"F",2001,0,4,"r42"
29,98.28,100.3,"F",2002,1,4,"r42"
33,97.62,100.2,"F",2006,2,4,"r42"
34,NA,95.98,"F",2007,3,4,"r42"
37,84.65,85.45,"M",2003,0,6,"r43"
38,85.15,85.98,"M",2004,1,6,"r43"
39,78.93,81.72,"M",2005,2,6,"r43"
40,83.62,84.68,"M",2006,3,6,"r43"
41,NA,84.23,"M",2007,4,6,"r43"
42,NA,95.77,"M",2008,5,6,"r43"
39,81.13,85.65,"M",2001,0,4,"r44"
40,78.53,81.28,"M",2002,1,4,"r44"
44,83.47,85.83,"M",2006,2,4,"r44"
46,NA,81.72,"M",2008,3,4,"r44"
22,109.3,113.9,"M",2005,0,4,"r45"
23,112.8,121.6,"M",2006,1,4,"r45"
24,NA,101.5,"M",2007,2,4,"r45"
25,NA,107.3,"M",2008,3,4,"r45"
27,NA,96.75,"M",2007,0,2,"r46"
28,NA,88.92,"M",2008,1,2,"r46"
36,85.33,89.3,"M",2001,0,2,"r47"
37,81.32,81.45,"M",2002,1,2,"r47"
27,68.78,69.17,"M",2004,0,3,"r48"
30,NA,64.52,"M",2007,1,3,"r48"
31,NA,68.92,"M",2008,2,3,"r48"
35,NA,90.37,"M",2007,0,2,"r49"
36,NA,83.35,"M",2008,1,2,"r49"
25,87.25,94.02,"M",2005,0,4,"r50"
26,92.75,100.2,"M",2006,1,4,"r50"
27,NA,97.7,"M",2007,2,4,"r50"
28,NA,86.88,"M",2008,3,4,"r50"
31,101,102.7,"M",2006,0,3,"r51"
32,NA,95.43,"M",2007,1,3,"r51"
33,NA,105.5,"M",2008,2,3,"r51"
24,90.82,97.05,"M",2005,0,2,"r52"
25,77.12,77.63,"M",2006,1,2,"r52"
15,81.1,89.03,"M",2006,0,3,"r53"
16,NA,78.03,"M",2007,1,3,"r53"
17,NA,75.67,"M",2008,2,3,"r53"
30,72.18,73.32,"M",2000,0,2,"r54"
31,76.82,78.22,"M",2001,1,2,"r54"
31,90.2,91.95,"M",2005,0,2,"r55"
34,NA,83.73,"M",2008,1,2,"r55"
26,92.82,100,"M",2006,0,2,"r56"
27,NA,87.95,"M",2007,1,2,"r56"
32,NA,69.65,"M",1999,0,4,"r57"
33,70.3,70.38,"M",2000,1,4,"r57"
34,75.1,75.32,"M",2001,2,4,"r57"
41,NA,70.78,"M",2008,3,4,"r57"
24,NA,68.2,"M",2007,0,2,"r58"
25,NA,66.38,"M",2008,1,2,"r58"
27,80.38,88.67,"M",2005,0,4,"r59"
28,85.17,88.27,"M",2006,1,4,"r59"
29,NA,77.78,"M",2007,2,4,"r59"
30,NA,74.23,"M",2008,3,4,"r59"
35,99.45,101,"M",2000,0,2,"r60"
43,NA,94.32,"M",2008,1,2,"r60"
37,82.43,88.98,"M",2003,0,4,"r61"
38,92.67,99.28,"M",2004,1,4,"r61"
41,NA,84.97,"M",2007,2,4,"r61"
42,NA,83.32,"M",2008,3,4,"r61"
24,92.68,96.12,"M",2006,0,2,"r62"
25,NA,90.97,"M",2007,1,2,"r62"
26,108.8,114.3,"M",2003,0,5,"r63"
27,98.2,102.2,"M",2004,1,5,"r63"
29,108,115.3,"M",2006,2,5,"r63"
30,NA,117.9,"M",2007,3,5,"r63"
31,NA,106,"M",2008,4,5,"r63"
32,NA,55.03,"M",2007,0,2,"r64"
33,NA,57.13,"M",2008,1,2,"r64"
29,77.6,80.15,"M",2006,0,2,"r65"
30,NA,78.93,"M",2007,1,2,"r65"
26,107.3,110.1,"M",2000,0,2,"r66"
27,82.6,83.88,"M",2001,1,2,"r66"
28,72.95,73.55,"M",2004,0,3,"r67"
29,70.2,70.62,"M",2005,1,3,"r67"
30,71.85,75.82,"M",2006,2,3,"r67"
28,NA,84.85,"M",2007,0,2,"r68"
29,NA,90.15,"M",2008,1,2,"r68"
20,65.23,65.3,"M",2001,0,4,"r69"
21,62.85,68.1,"M",2002,1,4,"r69"
23,63.63,63.68,"M",2004,2,4,"r69"
24,64.63,64.67,"M",2005,3,4,"r69"
29,NA,67.35,"M",2007,0,2,"r70"
30,NA,63.62,"M",2008,1,2,"r70"
28,NA,68.72,"M",1999,0,3,"r71"
30,70.05,70.55,"M",2001,1,3,"r71"
31,83.08,87.5,"M",2002,2,3,"r71"
26,86.42,90.88,"M",2005,0,3,"r72"
27,75.85,76.38,"M",2006,1,3,"r72"
28,NA,74.48,"M",2007,2,3,"r72"
32,87.42,89.12,"M",2004,0,4,"r73"
33,79.82,80.87,"M",2005,1,4,"r73"
35,NA,87.98,"M",2007,2,4,"r73"
36,NA,92.42,"M",2008,3,4,"r73"
29,96.55,98.85,"M",2001,0,3,"r74"
30,85.32,91.32,"M",2002,1,3,"r74"
31,83.42,86.27,"M",2003,2,3,"r74"
46,NA,89.77,"M",2007,0,2,"r75"
47,NA,94.58,"M",2008,1,2,"r75"
25,96.55,101.4,"M",2005,0,3,"r76"
27,NA,79.72,"M",2007,1,3,"r76"
28,NA,77.9,"M",2008,2,3,"r76"
30,92.72,95.9,"M",2006,0,3,"r77"
31,NA,82.87,"M",2007,1,3,"r77"
32,NA,84.52,"M",2008,2,3,"r77"
23,NA,110.1,"M",2007,0,2,"r78"
24,NA,115.5,"M",2008,1,2,"r78"
24,72.23,73.15,"M",2000,0,8,"r79"
25,68.32,69.2,"M",2001,1,8,"r79"
26,71.55,72.08,"M",2002,2,8,"r79"
27,69.62,69.9,"M",2003,3,8,"r79"
28,70.17,71.18,"M",2004,4,8,"r79"
29,68.12,68.42,"M",2005,5,8,"r79"
31,NA,64.17,"M",2007,6,8,"r79"
32,NA,65.03,"M",2008,7,8,"r79"
29,69.93,70.37,"M",2003,0,2,"r80"
31,74.3,76.83,"M",2005,1,2,"r80"
28,90.58,102.1,"M",2001,0,2,"r81"
29,88.33,91.32,"M",2002,1,2,"r81"
23,88.82,94.78,"M",2003,0,2,"r82"
24,79.97,81.33,"M",2004,1,2,"r82"
30,86.35,90.12,"M",2005,0,3,"r83"
31,87.28,88.95,"M",2006,1,3,"r83"
32,NA,82.28,"M",2007,2,3,"r83"
41,NA,88.27,"F",1999,0,2,"r84"
48,87.88,91,"F",2006,1,2,"r84"
31,90.27,92.55,"F",2002,0,2,"r85"
33,98.55,106.3,"F",2004,1,2,"r85"
38,83.25,84.82,"F",2005,0,3,"r86"
39,83.58,83.87,"F",2006,1,3,"r86"
40,NA,85.37,"F",2007,2,3,"r86"
36,72.7,72.92,"F",2004,0,2,"r87"
37,73.65,73.65,"F",2005,1,2,"r87"
25,98.4,103.3,"F",2001,0,2,"r88"
26,102.5,106.8,"F",2002,1,2,"r88"
65,105.4,113.2,"M",2005,0,2,"r89"
66,106.8,115.4,"M",2006,1,2,"r89"
56,97.1,100.4,"M",2001,0,4,"r90"
57,99.25,102.6,"M",2002,1,4,"r90"
58,95.33,97.83,"M",2003,2,4,"r90"
59,102.7,104.6,"M",2004,3,4,"r90"
50,101.6,105.3,"M",2003,0,3,"r91"
51,98.27,106.1,"M",2004,1,3,"r91"
52,99.63,103.3,"M",2005,2,3,"r91"
34,77.37,83.02,"M",2005,0,4,"r92"
35,74.9,75.7,"M",2006,1,4,"r92"
36,NA,68.78,"M",2007,2,4,"r92"
37,NA,65.53,"M",2008,3,4,"r92"
23,88.75,95.05,"M",2005,0,2,"r93"
25,NA,73.9,"M",2007,1,2,"r93"
49,NA,79.62,"M",1999,0,3,"r94"
50,80.1,82.1,"M",2000,1,3,"r94"
52,82.93,87.02,"M",2002,2,3,"r94"
52,73.83,79.23,"M",2002,0,2,"r95"
53,86.72,88.47,"M",2003,1,2,"r95"
45,114.2,119.8,"F",2001,0,4,"r96"
46,109.3,115,"F",2002,1,4,"r96"
49,110.8,114.6,"F",2005,2,4,"r96"
50,113.5,120.6,"F",2006,3,4,"r96"
50,NA,108.8,"M",1999,0,3,"r97"
52,108.6,113,"M",2001,1,3,"r97"
53,113.8,119.8,"M",2002,2,3,"r97"
39,77.43,78.87,"M",2004,0,2,"r98"
40,90.1,91.32,"M",2005,1,2,"r98"
17,NA,105.8,"M",2007,0,2,"r99"
18,NA,102.9,"M",2008,1,2,"r99"
40,NA,85.17,"F",1999,0,5,"r100"
41,92.65,95.95,"F",2000,1,5,"r100"
42,86.93,95.12,"F",2001,2,5,"r100"
43,91.13,93.57,"F",2002,3,5,"r100"
44,89.05,93.02,"F",2003,4,5,"r100"
40,105.8,108.2,"F",2002,0,2,"r101"
41,119.5,126.4,"F",2003,1,2,"r101"
26,NA,95.93,"F",2007,0,2,"r102"
27,NA,104.8,"F",2008,1,2,"r102"
35,103.8,107.6,"F",2001,0,2,"r103"
37,102.4,108.4,"F",2003,1,2,"r103"
25,90.52,95.4,"F",2003,0,3,"r104"
26,82.32,85.25,"F",2004,1,3,"r104"
27,86.03,91.33,"F",2005,2,3,"r104"
31,94.97,101.8,"M",2003,0,3,"r105"
32,95.53,98.18,"M",2004,1,3,"r105"
33,99.15,100.1,"M",2005,2,3,"r105"
35,NA,102.1,"F",1999,0,8,"r106"
37,94.02,99.47,"F",2001,1,8,"r106"
38,114.4,122.9,"F",2002,2,8,"r106"
39,96.47,102.4,"F",2003,3,8,"r106"
40,94.07,101.4,"F",2004,4,8,"r106"
41,92.48,100.8,"F",2005,5,8,"r106"
42,90.25,99.48,"F",2006,6,8,"r106"
43,NA,85.7,"F",2007,7,8,"r106"
36,99.22,105.2,"F",2002,0,2,"r107"
37,95.05,96.6,"F",2003,1,2,"r107"
32,NA,75,"F",1999,0,2,"r108"
33,73.68,74.57,"F",2000,1,2,"r108"
23,NA,90.53,"F",1999,0,3,"r109"
24,86.83,88.1,"F",2000,1,3,"r109"
25,94.38,99.4,"F",2001,2,3,"r109"
29,89.62,97.68,"F",2005,0,3,"r110"
30,84.8,89.93,"F",2006,1,3,"r110"
31,NA,80.25,"F",2007,2,3,"r110"
24,94.75,102,"F",2004,0,2,"r111"
25,91.08,95.65,"F",2005,1,2,"r111"
28,94.28,97.1,"F",2004,0,2,"r112"
30,114.8,122.8,"F",2006,1,2,"r112"
39,78.97,85.42,"F",2005,0,3,"r113"
41,NA,76.47,"F",2007,1,3,"r113"
42,NA,74.78,"F",2008,2,3,"r113"
24,104.7,110.4,"F",2006,0,2,"r114"
25,NA,109.5,"F",2007,1,2,"r114"
37,66.07,66.47,"M",2001,0,4,"r115"
39,63.5,63.58,"M",2003,1,4,"r115"
40,62.77,62.77,"M",2004,2,4,"r115"
41,66.68,66.68,"M",2005,3,4,"r115"
30,NA,91.58,"M",1999,0,2,"r116"
31,98.23,101.5,"M",2000,1,2,"r116"
39,96.78,98.28,"M",2001,0,2,"r117"
40,83.1,84.68,"M",2002,1,2,"r117"
39,NA,77.6,"M",1999,0,9,"r118"
40,73.32,73.57,"M",2000,1,9,"r118"
41,75.37,75.77,"M",2001,2,9,"r118"
42,75.5,76.17,"M",2002,3,9,"r118"
44,76.6,76.97,"M",2004,4,9,"r118"
45,76.9,77.3,"M",2005,5,9,"r118"
46,77.07,77.3,"M",2006,6,9,"r118"
47,NA,74.33,"M",2007,7,9,"r118"
48,NA,79.17,"M",2008,8,9,"r118"
49,79.78,81.22,"M",2001,0,2,"r119"
50,86.43,89.38,"M",2002,1,2,"r119"
31,92.83,97.83,"M",2005,0,2,"r120"
33,NA,67.98,"M",2007,1,2,"r120"
44,90.87,95.07,"M",2006,0,2,"r121"
45,NA,79.65,"M",2007,1,2,"r121"
49,85.25,86.72,"M",2005,0,4,"r122"
50,78.13,79.67,"M",2006,1,4,"r122"
51,NA,79.08,"M",2007,2,4,"r122"
52,NA,77.48,"M",2008,3,4,"r122"
39,86.9,88.78,"M",2000,0,2,"r123"
40,84.73,86.72,"M",2001,1,2,"r123"
47,71.55,72.83,"M",2000,0,2,"r124"
52,79.32,83.15,"M",2005,1,2,"r124"
44,76.82,77.28,"M",2000,0,6,"r125"
45,75.53,75.72,"M",2001,1,6,"r125"
47,74.45,74.6,"M",2003,2,6,"r125"
48,78.47,79.02,"M",2004,3,6,"r125"
49,75.82,75.97,"M",2005,4,6,"r125"
50,74.28,74.43,"M",2006,5,6,"r125"
42,88.95,91.2,"M",2006,0,2,"r126"
43,NA,96.18,"M",2007,1,2,"r126"
54,105.8,109.3,"M",2000,0,2,"r127"
56,111.7,115.2,"M",2002,1,2,"r127"
48,NA,106.7,"M",1999,0,6,"r128"
51,107.5,111.5,"M",2002,1,6,"r128"
53,109.6,115.2,"M",2004,2,6,"r128"
54,121.2,121.2,"M",2005,3,6,"r128"
55,132.6,139.5,"M",2006,4,6,"r128"
56,NA,117.9,"M",2007,5,6,"r128"
52,134.3,138.4,"M",2000,0,4,"r129"
53,122.4,135.7,"M",2001,1,4,"r129"
54,126.8,133,"M",2002,2,4,"r129"
55,118.6,123.4,"M",2003,3,4,"r129"
40,102.7,107.1,"M",2006,0,2,"r130"
41,NA,104.5,"M",2007,1,2,"r130"
41,93.15,99.82,"M",2002,0,3,"r131"
42,96.13,102.6,"M",2003,1,3,"r131"
46,NA,97.07,"M",2007,2,3,"r131"
53,89.65,96.53,"M",2003,0,4,"r132"
54,86.48,91.35,"M",2004,1,4,"r132"
55,88.7,97.63,"M",2005,2,4,"r132"
57,NA,95,"M",2007,3,4,"r132"
47,95.27,98.2,"M",2002,0,5,"r133"
50,95.85,103.8,"M",2005,1,5,"r133"
51,94.95,99.57,"M",2006,2,5,"r133"
52,NA,102.9,"M",2007,3,5,"r133"
53,NA,106,"M",2008,4,5,"r133"
46,NA,67.57,"M",1999,0,6,"r134"
48,61.87,61.95,"M",2001,1,6,"r134"
51,64.77,64.9,"M",2004,2,6,"r134"
52,66.4,66.57,"M",2005,3,6,"r134"
54,NA,68.02,"M",2007,4,6,"r134"
55,NA,62.5,"M",2008,5,6,"r134"
31,91.42,95.52,"M",2005,0,4,"r135"
32,85.4,88.42,"M",2006,1,4,"r135"
33,NA,84.5,"M",2007,2,4,"r135"
34,NA,87.57,"M",2008,3,4,"r135"
26,NA,103.3,"M",2007,0,2,"r136"
27,NA,105,"M",2008,1,2,"r136"
63,NA,75.77,"M",1999,0,8,"r137"
64,77.78,77.95,"M",2000,1,8,"r137"
66,76.88,76.98,"M",2002,2,8,"r137"
67,79.47,79.52,"M",2003,3,8,"r137"
68,88.63,88.8,"M",2004,4,8,"r137"
69,95.53,95.7,"M",2005,5,8,"r137"
71,NA,89.32,"M",2007,6,8,"r137"
72,NA,89.62,"M",2008,7,8,"r137"
29,NA,79,"M",2007,0,2,"r138"
30,NA,76.78,"M",2008,1,2,"r138"
38,61.52,61.63,"M",2002,0,2,"r139"
40,67.27,67.35,"M",2004,1,2,"r139"
49,88.07,95.83,"M",2001,0,4,"r140"
50,78.07,78.93,"M",2002,1,4,"r140"
52,84.15,85.18,"M",2004,2,4,"r140"
54,92.13,94.88,"M",2006,3,4,"r140"
31,66.2,67.23,"M",2004,0,2,"r141"
33,66.12,66.42,"M",2006,1,2,"r141"
42,NA,73.38,"M",1999,0,3,"r142"
43,106.6,110.6,"M",2000,1,3,"r142"
44,88.2,91.83,"M",2001,2,3,"r142"
30,90.85,97.55,"M",2006,0,2,"r143"
31,NA,86.9,"M",2007,1,2,"r143"
39,84.77,88.47,"M",2001,0,6,"r144"
40,84.53,85.57,"M",2002,1,6,"r144"
41,87.38,89.2,"M",2003,2,6,"r144"
42,95.77,100.2,"M",2004,3,6,"r144"
43,89.4,91.17,"M",2005,4,6,"r144"
44,87.05,93.23,"M",2006,5,6,"r144"
53,99.38,102.4,"M",2003,0,2,"r145"
54,97.97,102.2,"M",2004,1,2,"r145"
33,67.28,68.32,"M",2004,0,5,"r146"
34,65.13,65.55,"M",2005,1,5,"r146"
35,68.67,70.02,"M",2006,2,5,"r146"
36,NA,64.57,"M",2007,3,5,"r146"
37,NA,67.3,"M",2008,4,5,"r146"
50,87.5,88.45,"M",2001,0,6,"r147"
51,89.55,90.3,"M",2002,1,6,"r147"
52,93.75,95.67,"M",2003,2,6,"r147"
53,92.4,94.73,"M",2004,3,6,"r147"
54,94.73,96.17,"M",2005,4,6,"r147"
55,101.2,102.2,"M",2006,5,6,"r147"
53,NA,72,"M",1999,0,2,"r148"
54,77.63,77.9,"M",2000,1,2,"r148"
33,87.9,89.77,"M",2004,0,4,"r149"
34,123.3,129.1,"M",2005,1,4,"r149"
35,106.4,111.5,"M",2006,2,4,"r149"
36,NA,72.15,"M",2007,3,4,"r149"
44,91.23,94.55,"F",2006,0,2,"r150"
45,NA,86.38,"F",2007,1,2,"r150"
30,NA,105.7,"M",2007,0,2,"r151"
31,NA,106.6,"M",2008,1,2,"r151"
57,85.05,87.27,"M",2000,0,2,"r152"
58,91.85,97.47,"M",2001,1,2,"r152"
52,80.23,80.98,"M",2000,0,2,"r153"
53,85.33,86.58,"M",2001,1,2,"r153"
48,NA,104.9,"M",1999,0,4,"r154"
49,92.5,96.95,"M",2000,1,4,"r154"
56,NA,94.7,"M",2007,2,4,"r154"
57,NA,99.13,"M",2008,3,4,"r154"
16,76.77,81.87,"M",2003,0,2,"r155"
17,68.83,70.4,"M",2004,1,2,"r155"
44,83.82,85.58,"M",2004,0,5,"r156"
45,84.08,86.78,"M",2005,1,5,"r156"
46,84.63,84.9,"M",2006,2,5,"r156"
47,NA,81.6,"M",2007,3,5,"r156"
48,NA,81.22,"M",2008,4,5,"r156"
39,NA,87.02,"M",1999,0,2,"r157"
46,93.63,100.4,"M",2006,1,2,"r157"
65,NA,136.4,"M",1999,0,6,"r158"
66,128.5,128.5,"M",2000,1,6,"r158"
67,129,132,"M",2001,2,6,"r158"
68,129.6,129.6,"M",2002,3,6,"r158"
69,130.2,130.2,"M",2003,4,6,"r158"
70,166.2,166.2,"M",2004,5,6,"r158"
67,128.2,132.3,"M",2005,0,2,"r159"
69,NA,120,"M",2007,1,2,"r159"
26,58.47,58.52,"M",2006,0,2,"r160"
27,NA,57.25,"M",2007,1,2,"r160"
50,80.12,84.08,"M",2002,0,2,"r161"
51,84.23,84.85,"M",2003,1,2,"r161"
55,NA,101.8,"M",1999,0,2,"r162"
56,104.3,107.5,"M",2000,1,2,"r162"
46,64.3,64.43,"M",2006,0,2,"r163"
47,NA,65.27,"M",2007,1,2,"r163"
45,103.2,103.2,"F",2001,0,2,"r164"
46,105.5,110.4,"F",2002,1,2,"r164"
36,96.25,101.7,"M",2002,0,5,"r165"
37,74.97,79.9,"M",2003,1,5,"r165"
38,73.55,74.08,"M",2004,2,5,"r165"
41,NA,88.32,"M",2007,3,5,"r165"
42,NA,89.95,"M",2008,4,5,"r165"
45,72.52,73.3,"M",2003,0,3,"r166"
46,72.5,73.35,"M",2004,1,3,"r166"
47,74.2,75.23,"M",2005,2,3,"r166"
30,71.83,73.45,"M",2000,0,5,"r167"
31,69.13,70.02,"M",2001,1,5,"r167"
32,67.82,68.1,"M",2002,2,5,"r167"
33,72.47,72.7,"M",2003,3,5,"r167"
34,72.47,72.92,"M",2004,4,5,"r167"
36,77.68,80.43,"M",2003,0,2,"r168"
40,NA,85.38,"M",2007,1,2,"r168"
30,82,85.35,"F",2004,0,3,"r169"
33,NA,96.32,"F",2007,1,3,"r169"
34,NA,86.07,"F",2008,2,3,"r169"
24,66.32,69.02,"M",2005,0,3,"r170"
25,63.42,64.55,"M",2006,1,3,"r170"
25,63.43,64.55,"M",2006,2,3,"r170"
45,107.4,108.4,"M",2000,0,3,"r171"
46,135.4,136.2,"M",2001,1,3,"r171"
49,81.33,82.37,"M",2004,2,3,"r171"
24,95.77,102.6,"M",2006,0,2,"r172"
26,NA,95.73,"M",2008,1,2,"r172"
26,75.35,75.85,"M",2006,0,2,"r173"
27,NA,76.88,"M",2007,1,2,"r173"
39,NA,90.48,"M",1999,0,2,"r174"
48,NA,110.4,"M",2008,1,2,"r174"
31,79.33,80.33,"M",2004,0,3,"r175"
32,74.83,75.9,"M",2005,1,3,"r175"
33,81.65,83.83,"M",2006,2,3,"r175"
46,NA,83.78,"M",1999,0,3,"r176"
47,79.93,80.33,"M",2000,1,3,"r176"
48,84.48,88.85,"M",2001,2,3,"r176"
21,64.35,64.6,"M",2005,0,3,"r177"
22,63.28,63.58,"M",2006,1,3,"r177"
24,NA,60.07,"M",2008,2,3,"r177"
27,49.3,49.33,"M",2003,0,2,"r178"
28,50.63,50.63,"M",2004,1,2,"r178"
22,74.33,75.37,"M",2006,0,3,"r179"
24,NA,77.97,"M",2008,1,3,"r179"
24,NA,84.45,"M",2008,2,3,"r179"
48,94.08,101.4,"M",2004,0,2,"r180"
49,90.02,93.15,"M",2005,1,2,"r180"
55,NA,87.87,"M",1999,0,2,"r181"
56,88.6,90.15,"M",2000,1,2,"r181"
37,89.83,94.98,"M",2006,0,2,"r182"
38,NA,102.4,"M",2007,1,2,"r182"
30,87.47,90.6,"M",2002,0,4,"r183"
32,90.58,97.47,"M",2004,1,4,"r183"
33,84.1,87.72,"M",2005,2,4,"r183"
34,87.62,89.43,"M",2006,3,4,"r183"
23,81.77,83.45,"F",2003,0,5,"r184"
24,79.3,80.65,"F",2004,1,5,"r184"
25,82.13,83.42,"F",2005,2,5,"r184"
27,NA,91.15,"F",2007,3,5,"r184"
28,NA,87.68,"F",2008,4,5,"r184"
33,99.72,105,"M",2006,0,2,"r185"
34,NA,95.23,"M",2007,1,2,"r185"
27,72.82,73.67,"M",2001,0,2,"r186"
30,66.23,66.57,"M",2004,1,2,"r186"
25,76.13,77.78,"M",2005,0,2,"r187"
26,82.55,89.67,"M",2006,1,2,"r187"
29,63.57,63.92,"M",2003,0,2,"r188"
30,62.62,62.82,"M",2004,1,2,"r188"
28,104.8,110.4,"M",2005,0,2,"r189"
29,106.5,112.3,"M",2006,1,2,"r189"
34,87.92,89.18,"F",2005,0,2,"r190"
37,NA,87.55,"F",2008,1,2,"r190"
41,NA,93.85,"F",1999,0,3,"r191"
43,98.3,98.9,"F",2001,1,3,"r191"
44,93.4,95.95,"F",2002,2,3,"r191"
35,79.75,81.3,"M",2000,0,2,"r192"
36,80.6,81.02,"M",2001,1,2,"r192"
25,67.82,68.1,"M",2003,0,2,"r193"
26,69.88,70.23,"M",2004,1,2,"r193"
27,95.28,96.7,"M",2003,0,2,"r194"
28,96.75,97.48,"M",2004,1,2,"r194"
31,95.03,98.9,"M",2001,0,5,"r195"
32,88.4,94.8,"M",2002,1,5,"r195"
33,82.32,89.02,"M",2003,2,5,"r195"
34,90.65,94.1,"M",2004,3,5,"r195"
38,NA,90.97,"M",2008,4,5,"r195"
